Pay,Receive,Maturity,Notional Amount,UnrealizedGain/(Loss),CIK,Reporting Type,Report Year
Brazil Interbank Deposit Rate,Fixed Rate 11.980%,01/02/12,5800000,"(113,409",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 10.575%,01/02/12,8200000,"(345,652",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 11.360%,01/04/10,5500000,"(101,775",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 11.430%,01/04/10,3600000,"(63,448",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 11.465%,01/04/10,1400000,"(24,075",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 12.410%,01/04/10,2800000,"(16,859",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 12.540%,01/02/12,3400000,"(41,558",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 12.540%,01/02/12,3400000,"(41,558",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 12.540%,01/02/12,7300000,"(89,227",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 12.670%,01/04/10,2800000,"(16,583",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 12.780%,01/04/10,5000000,"(7,101",0000882443,N-CSR,08
Brazil Interbank Deposit Rate,Fixed Rate 12.948%,01/04/10,2100000,1624,0000882443,N-CSR,08
