Reference Entity,Rate,Counterparty,Maturity,Rating,Amount,(Received),Gain/(Loss),CIK,Reporting Type,Report Year
ABX.HE,0.11,BRC,05/25/46,BA-,4804713,"(982,867",30576.0,0000882443,N-CSR,15
Berkshire Hathaway Inc.,1.0,DUB,09/20/16,AA,400000,3885,,0000882443,N-CSR,15
Brazil Federative Republic Bond,1.0,CITI,06/20/16,BAA,4300000,"(4,273",30607.0,0000882443,N-CSR,15
Brazil Federative Republic Bond,1.0,DUB,06/20/16,BAA,1400000,"(1,513",10161.0,0000882443,N-CSR,15
Brazil Federative Republic Bond,1.0,GS,12/20/19,BAA,11200000,"(404,273",127881.0,0000882443,N-CSR,15
Brazil Federative Republic Bond,1.0,HSBC,12/20/19,BAA,3800000,"(139,850",45892.0,0000882443,N-CSR,15
Brazil Federative Republic Bond,1.0,JPM,09/20/15,BAA,1400000,"(2,754",12297.0,0000882443,N-CSR,15
Brazil Federative Republic Bond,1.0,UBS,09/20/15,BAA,1000000,"(1,667",8145.0,0000882443,N-CSR,15
Brazil Federative Republic Bond,1.95,MS,08/20/16,BAA,3500000,   ,79207.0,0000882443,N-CSR,15
China Government,1.0,MS,06/20/16,AA-,1800000,"(19,143",53047.0,0000882443,N-CSR,15
China Government,1.0,RBS,06/20/15,AA-,1900000,3923,304.0,0000882443,N-CSR,15
Colombia Government,1.0,GS,03/20/19,BAA,2500000,"(19,720",49917.0,0000882443,N-CSR,15
