"

Underlying Instrument

","
Counterparty
","
Amount($)
","
Rate(%)
","
Date
",Unnamed: 5,CIK,Reporting Type,Report Year
"

    Allstate Corp. 

","
    JPMorgan
","
    8,680
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Bristol-Myers Squib Co. 

","
    JPMorgan
","
    8,680
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Citibank N.A.

","
    Credit Suisse First Boston
","
    8,525
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Emerging Markets CDX Indices, Series 12

","
    JPMorgan
","
    10,325
",5.0,"
    12/20/14
",,0000883939,N-CSR,10
"

    Emerging Markets CDX Indices, Series 12

","
    Barclays Bank PLC
","
    1,413
",5.0,"
    12/20/14
",,0000883939,N-CSR,10
"

    Emerging Markets CDX Indices, Series 12

","
    Morgan Stanley
","
    14,710
",5.0,"
    12/20/14
",,0000883939,N-CSR,10
"

    Emerging Markets CDX Indices, Series 12

","
    Barclays Bank PLC
","
    23,190
",5.0,"
    12/20/14
",,0000883939,N-CSR,10
"

    Kingdom of Belgium

","
    Deutsche Bank
","
    4,176
",1.0,"
    09/20/15
",,0000883939,N-CSR,10
"

    Kingdom of Norway

","
    Morgan Stanley
","
    4,361
",0.25,"
    09/20/15
","
    (20
",0000883939,N-CSR,10
"

    Kingdom of Norway

","
    Goldman Sachs
","
    4,361
",0.25,"
    09/20/15
","
    (13
",0000883939,N-CSR,10
"

    Kingdom of Spain

","
    Deutsche Bank
","
    17,300
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Kingdom of Spain

","
    Credit Suisse First Boston
","
    15,640
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Kingdom of Spain

","
    Morgan Stanley
","
    3,000
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Kingdom of Spain

","
    Morgan Stanley
","
    10,890
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Monsanto Co. 

","
    JPMorgan
","
    8,680
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Republic of Ireland

","
    Morgan Stanley
","
    17,300
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Republic of Ireland

","
    JPMorgan
","
    15,640
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Republic of Ireland

","
    Morgan Stanley
","
    16,800
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Republic of Ireland

","
    Morgan Stanley
","
    4,556
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Republic of Portugal

","
    Goldman Sachs
","
    31,575
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Republic of Portugal

","
    Barclays Bank PLC
","
    15,640
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Republic of Portugal

","
    Deutsche Bank
","
    17,300
",1.0,"
    06/20/15
",,0000883939,N-CSR,10
"

    Republic of Portugal

","
    Deutsche Bank
","
    8,689
",1.0,"
    09/20/15
",,0000883939,N-CSR,10
