Underlying Instrument,Counterparty,Amount ($),Rate (%),Date,Value ($),CIK,Reporting Type,Report Year
"

Dow Jones CDS Indices; Series 7
    
",Citibank N.A.,"1,195",0.59,03/20/17,(6,0000883939,N-CSR,07
"

Dow Jones CDS Indices; Series 7
    
",Citibank N.A.,120,0.59,03/20/17,(1,0000883939,N-CSR,07
"

Brunswick Corp. 
",Merrill Lynch,(120,1.15,03/20/17,(1,0000883939,N-CSR,07
"

Cardinal Health, Inc. 
",Merrill Lynch,(120,0.53,03/20/17,,0000883939,N-CSR,07
"

Campbell Soup Co. 
",Citibank N.A.,(120,0.33,03/20/17,(1,0000883939,N-CSR,07
"

H.J. Heinz Co. 
",Citibank N.A.,(120,0.74,03/20/17,(2,0000883939,N-CSR,07
"

IStar Financial, Inc. 
",Citibank N.A.,(120,0.7,03/20/17,,0000883939,N-CSR,07
"

Lennar Corp. 
",Citibank N.A.,(120,1.02,03/20/17,,0000883939,N-CSR,07
"

Nordstrom, Inc. 
",Citibank N.A.,(120,0.45,03/20/17,(1,0000883939,N-CSR,07
"

Nucor Corp. 
",Citibank N.A.,(120,0.24,03/20/17,(1,0000883939,N-CSR,07
"

Quest Diagnostics, Inc. 
",Merrill Lynch,(120,0.78,03/20/17,,0000883939,N-CSR,07
"

Sprint Nextel Corp. 
",Citibank N.A.,(120,1.18,03/20/17,(1,0000883939,N-CSR,07
"

Weyerhaueser Co. 
",Citibank N.A.,(120,1.05,03/20/17,,0000883939,N-CSR,07
