Underlying Instrument,Counterparty,Amount ($),(%),Date,Value ($),CIK,Reporting Type,Report Year
"

Dow Jones CDS Indices; Series 7
    
",Citibank N.A.,"5,600",0.59,03/20/17,(27,0000883939,N-CSR,07
"

Dow Jones CDS Indices; Series 7
    
",Citibank N.A.,560,0.59,03/20/17,(4,0000883939,N-CSR,07
"

Brunswick Corp. 
",Merrill Lynch,(560,1.15,03/20/17,(4,0000883939,N-CSR,07
"

Cardinal Health, Inc. 
",Merrill Lynch,(560,0.53,03/20/17,,0000883939,N-CSR,07
"

Campbell Soup Co. 
",Citibank N.A.,(560,0.33,03/20/17,(3,0000883939,N-CSR,07
"

H.J. Heinz Co. 
",Citibank N.A.,(560,0.74,03/20/17,(7,0000883939,N-CSR,07
"

IStar Financial, Inc. 
",Citibank N.A.,(560,0.7,03/20/17,,0000883939,N-CSR,07
"

Lennar Corp. 
",Citibank N.A.,(560,1.02,03/20/17,22,0000883939,N-CSR,07
"

Nordstrom, Inc. 
",Citibank N.A.,(560,0.45,03/20/17,(4,0000883939,N-CSR,07
"

Nucor Corp. 
",Citibank N.A.,(560,0.24,03/20/17,(7,0000883939,N-CSR,07
"

Quest Diagnostics, Inc. 
",Merrill Lynch,(560,0.78,03/20/17,,0000883939,N-CSR,07
"

Sprint Nextel Corp. 
",Citibank N.A.,(560,1.18,03/20/17,(5,0000883939,N-CSR,07
"

Weyerhaueser Co. 
",Citibank N.A.,(560,1.05,03/20/17,(3,0000883939,N-CSR,07
