Underlying Instrument,Counterparty,Amount($),Rate(%),Date,Value($),CIK,Reporting Type,Report Year
"Citigroup, Inc. CDX Indicies",Credit Suisse First Boston,"8,525",1.0,03/20/15,275,0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",JPMorgan,"10,325",5.0,12/20/14,"(1,089",0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",Barclays Bank PLC,"1,413",5.0,12/20/14,(149,0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",Morgan Stanley,"14,710",5.0,12/20/14,"(1,552",0000883939,N-Q,10
"Emerging Markets CDX Indices, Series 12",Barclays Bank PLC,"23,190",5.0,12/20/14,"(2,447",0000883939,N-Q,10
Kingdom of Spain CDX Indices,Morgan Stanley,"3,000",1.0,03/20/15,21,0000883939,N-Q,10
Kingdom of Sweden CDX Indices,Barclays Bank PLC,"1,040",0.25,09/20/14,12,0000883939,N-Q,10
Kingdom of Sweden CDX Indices,Barclays Bank PLC,"1,057",1.0,09/20/14,(23,0000883939,N-Q,10
Kingdom of Sweden CDX Indices,Barclays Bank PLC,950,1.0,09/20/14,(21,0000883939,N-Q,10
Republic of Austria CDX Indices,Barclays Bank PLC,"1,040",1.0,09/20/14,(9,0000883939,N-Q,10
Republic of Austria CDX Indices,Barclays Bank PLC,470,1.0,09/20/14,(4,0000883939,N-Q,10
Republic of Portugal CDX Indices,Deutsche Bank,"2,925",1.0,03/20/15,(11,0000883939,N-Q,10
