Underlying Instrument,Counterparty,Amount ($),Rate (%),Date,Value ($),CIK,Reporting Type,Report Year
Dow Jones CDS Indices; Series 7,Merrill Lynch,"6,675,000",0.59,12/20/16,9,0000883939,N-Q,07
Dow Jones CDS Indices; Series 7,Credit Suisse First Boston,"1,410,000",0.65,12/20/16,14,0000883939,N-Q,07
Dow Jones CDS Indices; Series 7,Merrill Lynch,"740,000",0.65,12/20/16,,0000883939,N-Q,07
Dow Jones CDS Indices; Series 7,Merrill Lynch,"740,000",0.59,12/20/16,(1,0000883939,N-Q,07
"Bear Stearns, Inc.",J.P. Morgan,"(740,000",0.53,06/20/17,,0000883939,N-Q,07
Brunswick Corp.,Merrill Lynch,"(740,000",1.15,03/20/17,(3,0000883939,N-Q,07
Campbell Soup Co.,Citibank N.A.,"(740,000",0.33,12/20/17,,0000883939,N-Q,07
Canadian Pacific Railway Co.,Merrill Lynch,"(740,000",0.55,06/20/17,(5,0000883939,N-Q,07
Gannett Co.,Citibank N.A.,"(740,000",0.81,06/20/17,(13,0000883939,N-Q,07
"IStar Financial, Inc.",Citibank N.A.,"(740,000",0.7,03/20/17,(8,0000883939,N-Q,07
Lennar Corp.,Citibank N.A.,"(705,000",1.56,09/20/17,(1,0000883939,N-Q,07
"MBIA, Inc.",Credit Suisse First Boston,"(705,000",0.88,09/20/17,,0000883939,N-Q,07
Nucor Corp.,Citibank N.A.,"(740,000",0.42,03/20/17,,0000883939,N-Q,07
"Quest Diagnostics, Inc.",Merrill Lynch,"(740,000",0.78,03/20/17,(4,0000883939,N-Q,07
Sprint Nextel Corp.,Citibank N.A.,"(740,000",1.18,03/20/17,,0000883939,N-Q,07
Wells Fargo & Co.,J.P. Morgan,"(740,000",0.22,06/20/17,(1,0000883939,N-Q,07
Weyerhaeuser Co.,Citibank N.A.,"(740,000",1.05,03/20/11,(4,0000883939,N-Q,07
