"
Counterparty","
Notional amount","
Termination date","
Payments made by the Fund","
Payments received by the Fund",CIK,Reporting Type,Report Year
"
Barclays Bank","
13,300,000","
01/19/36","
(1) ","
3.0550",0000886244,N-CSRS,09
"
Citigroup Global Markets Limited","
60,000,000","
12/25/09","
0.4713","
(3) ",0000886244,N-CSRS,09
"
Citigroup Global Markets Limited","
50,000,000","
10/15/10","
(4) ","
2.8650",0000886244,N-CSRS,09
"
Citigroup Global Markets Limited","
89,500,000","
02/28/13","
(4) ","
3.4750",0000886244,N-CSRS,09
"
Citigroup Global Markets Limited","
54,500,000","
08/15/16","
4.3400","
(4) ",0000886244,N-CSRS,09
"
Citigroup Global Markets Limited","
31,200,000","
11/24/18","
0.4613","
(3) ",0000886244,N-CSRS,09
"
Deutsche Bank AG","
37,000,000","
06/27/37","
(1) ","
3.3150",0000886244,N-CSRS,09
"
Deutsche Bank AG","
44,000,000","
06/27/37","
5.2100","
(2) ",0000886244,N-CSRS,09
"
Deutsche Bank AG","
193,950,000","
10/15/10","
(4) ","
3.2000",0000886244,N-CSRS,09
"
Deutsche Bank AG","
AUD","
366,100,000","
08/24/11","
(7) ",0000886244,N-CSRS,09
"
Deutsche Bank AG","
184,460,000","
12/15/11","
(8) ","
4.1950",0000886244,N-CSRS,09
"
Deutsche Bank AG","
21,600,000","
08/19/13","
2.2388","
(5) ",0000886244,N-CSRS,09
"
Deutsche Bank AG","
11,000,000","
10/01/18","
4.5460","
(2) ",0000886244,N-CSRS,09
"
Deutsche Bank AG","
AUD","
90,700,000","
08/24/19","
6.5700",0000886244,N-CSRS,09
"
Deutsche Bank AG","
44,940,000","
12/15/19","
4.6425","
(2) ",0000886244,N-CSRS,09
"
Goldman Sachs International","
1,700,000,000","
02/02/37","
2.5230","
(2) ",0000886244,N-CSRS,09
"
Goldman Sachs International","
158,200,000","
11/24/09","
2.1531","
(5) ",0000886244,N-CSRS,09
"
Goldman Sachs International","
14,000,000","
09/01/18","
3.2500","
(2) ",0000886244,N-CSRS,09
"
JPMorgan Chase Bank","
105,800,000","
03/21/12","
(4) ","
4.0600",0000886244,N-CSRS,09
"
JPMorgan Chase Bank","
126,800,000","
11/24/18","
0.4613","
(3) ",0000886244,N-CSRS,09
"
JPMorgan Chase Bank","
25,900,000","
03/18/20","
4.8575","
(2) ",0000886244,N-CSRS,09
"
Merrill Lynch International","
65,950,000","
08/15/16","
4.3300","
(2) ",0000886244,N-CSRS,09
