"
Notional amount","
Termination dates","
Payments made by the Fund","
Payments received by the Fund","
Unrealizedappreciation/(depreciation)",CIK,Reporting Type,Report Year
"
45,000,000","
05/09/15","
2.3725","
2.2000","
578,900",0000886244,N-CSR,07
"
20,000,000","
05/19/16","
3.1850","
2.2000+","
(837,473",0000886244,N-CSR,07
"
25,000,000","
10/27/15","
2.2675","
2.2000+","
778,612",0000886244,N-CSR,07
"
20,000,000","
12/19/15","
2.5600","
2.2000+","
266,119",0000886244,N-CSR,07
"
45,000,000","
03/2/16","
2.5625","
2.2000+","
51,357",0000886244,N-CSR,07
"
10,000,000","
07/05/16","
3.180","
2.2000+","
(328,956",0000886244,N-CSR,07
"
67,000,000","
09/18/16","
2.8188","
2.2000+","
(317,520",0000886244,N-CSR,07
"
82,500,000","
12/13/16","
2.7550","
2.2000+","
153,636",0000886244,N-CSR,07
"
41,000,000","
11/02/21","
3.0850","
@","
278,282",0000886244,N-CSR,07
"
47,000,000","
11/02/21","
4.7550","
5.4300++","
(1,674,134",0000886244,N-CSR,07
"
62,300,000","
12/09/35","
@","
3.1450","
1,718,749",0000886244,N-CSR,07
"
80,000,000","
12/09/35","
4.3175","
5.4300++","
5,374,299",0000886244,N-CSR,07
"
42,300,000","
01/19/36","
@","
3.0550","
(451,435",0000886244,N-CSR,07
"
56,400,000","
01/19/36","
4.0010","
5.4300++","
9,587,068",0000886244,N-CSR,07
"
10,600,000","
07/03/36","
@","
3.1075","
208,712",0000886244,N-CSR,07
"
13,000,000","
07/05/36","
4.6525","
5.4300++","
(501,238",0000886244,N-CSR,07
"
34,000,000","
11/02/36","
@","
3.0350","
(186,165",0000886244,N-CSR,07
"
47,000,000","
11/02/36","
4.3380","
5.4300++","
1,974,275",0000886244,N-CSR,07
"
1,600,000,000","
05/09/35","
2.2513","
0.6306+++","
481,763",0000886244,N-CSR,07
"
675,000,000","
07/12/35","
2.2550","
0.6306+++","
170,081",0000886244,N-CSR,07
"
1,200,000,000","
10/27/35","
2.4400","
0.6306+++","
( 36,199)",0000886244,N-CSR,07
"
700,000,000","
12/19/35","
2.4700","
0.6306+++","
( 39,807)",0000886244,N-CSR,07
"
1,000,000,000","
05/19/36","
2.7200","
0.6306+++","
(516,014",0000886244,N-CSR,07
"
1,500,000,000","
03/02/36","
2.4625","
0.6306+++","
(134,823",0000886244,N-CSR,07
"
1,100,000,000","
07/05/36","
2.7800","
0.6306+++","
(769,104",0000886244,N-CSR,07
"
211,000,000","
06/13/09","
4.9980","
5.3600++++","
(250,814",0000886244,N-CSR,07
"
50,000,000","
12/30/11","
5.0150","
5.3600++++","
139,606",0000886244,N-CSR,07
"
140,000,000","
10/31/16","
5.2530","
5.3600++++",,0000886244,N-CSR,07
"
29,500,000","
12/12/16","
4.9780","
5.3600++++","
436,643",0000886244,N-CSR,07
"
53,000,000","
06/13/17","
5.1470","
5.3600++++","
52,399",0000886244,N-CSR,07
