"
Counterparty","
Notional amount","
Termination date",CIK,Reporting Type,Report Year
"
Barclays Bank","
13,300,000","
01/19/36",0000886244,N-CSR,10
"
Citigroup Global Markets Limited","
60,000,000","
12/25/09",0000886244,N-CSR,10
"
Citigroup Global Markets Limited","
50,000,000","
10/15/10",0000886244,N-CSR,10
"
Citigroup Global Markets Limited","
89,500,000","
02/28/13",0000886244,N-CSR,10
"
Citigroup Global Markets Limited","
54,500,000","
08/15/16",0000886244,N-CSR,10
"
Citigroup Global Markets Limited","
31,200,000","
11/24/18",0000886244,N-CSR,10
"
Deutsche Bank AG","
37,000,000","
06/27/37",0000886244,N-CSR,10
"
Deutsche Bank AG","
44,000,000","
06/27/37",0000886244,N-CSR,10
"
Deutsche Bank AG","
193,950,000","
10/15/10",0000886244,N-CSR,10
"
Deutsche Bank AG","
AUD","
366,100,000",0000886244,N-CSR,10
"
Deutsche Bank AG","
184,460,000","
12/15/11",0000886244,N-CSR,10
"
Deutsche Bank AG","
21,600,000","
08/19/13",0000886244,N-CSR,10
"
Deutsche Bank AG","
11,000,000","
10/01/18",0000886244,N-CSR,10
"
Deutsche Bank AG","
AUD","
90,700,000",0000886244,N-CSR,10
"
Deutsche Bank AG","
44,940,000","
12/15/19",0000886244,N-CSR,10
"
Goldman Sachs International","
1,700,000,000","
02/02/37",0000886244,N-CSR,10
"
Goldman Sachs International","
158,200,000","
11/24/09",0000886244,N-CSR,10
"
Goldman Sachs International","
14,000,000","
09/01/18",0000886244,N-CSR,10
"
JPMorgan Chase Bank","
105,800,000","
03/21/12",0000886244,N-CSR,10
"
JPMorgan Chase Bank","
126,800,000","
11/24/18",0000886244,N-CSR,10
"
JPMorgan Chase Bank","
25,900,000","
03/18/20",0000886244,N-CSR,10
"
Merrill Lynch International","
65,950,000","
08/15/16",0000886244,N-CSR,10
