Counterparty,Notional Amount,"Termination
  dates",CIK,Reporting Type,Report Year
Deutsche Bank AG,12883200,12/20/12,0000886244,N-Q,09
Deutsche Bank AG,10000000,06/20/13,0000886244,N-Q,09
Deutsche Bank AG,24000000,06/20/13,0000886244,N-Q,09
Deutsche Bank AG,33000000,06/20/13,0000886244,N-Q,09
Deutsche Bank AG,100000000,06/20/13,0000886244,N-Q,09
Deutsche Bank AG,6250000,12/20/13,0000886244,N-Q,09
"Goldman Sachs
  International",6123125,06/20/13,0000886244,N-Q,09
"Goldman Sachs
  International",25000000,06/20/13,0000886244,N-Q,09
"Goldman Sachs
  International",12500000,12/20/13,0000886244,N-Q,09
"Goldman Sachs
  International",29250000,12/20/13,0000886244,N-Q,09
"Goldman Sachs
  International",9300000,02/17/51,0000886244,N-Q,09
"Goldman Sachs
  International",2500000,10/12/52,0000886244,N-Q,09
Merrill Lynch,5820000,06/20/13,0000886244,N-Q,09
Merrill Lynch,18000000,06/20/13,0000886244,N-Q,09
Merrill Lynch,24000000,06/20/13,0000886244,N-Q,09
Merrill Lynch,41500000,06/20/13,0000886244,N-Q,09
Merrill Lynch,1750000,12/20/13,0000886244,N-Q,09
