Counterparty,ExpirationDate,NotionalAmount,Swap Details,UnrealizedAppreciation/(Depreciation),ImpliedCreditSpread*,CIK,Reporting Type,Report Year
UBS AG,12/20/2016,"4,320,000",Pay: Grohe Holding Gmbh(T)Receive: Fixed rate equal to 5.00%,"750,855",0.25%,0000887210,N-CSRS,14
Deutsche Bank,12/20/2016,"4,320,000",Pay: Grohe Holding Gmbh(T)Receive: Fixed rate equal to 5.00%,"1,413,735",0.25%,0000887210,N-CSRS,14
Goldman Sachs International,12/20/2017,"8,440,000",Pay: Chesapeake Energy(T)Receive: Fixed rate equal to 5.00%,"1,184,413",1.10%,0000887210,N-CSRS,14
Goldman Sachs International,12/20/2017,"9,935,000",Pay: Chesapeake Energy(T)Receive: Fixed rate equal to 5.00%,"2,064,823",1.10%,0000887210,N-CSRS,14
Goldman Sachs International,12/20/2017,"9,940,000",Pay: Chesapeake Energy(T)Receive: Fixed rate equal to 5.00%,"2,065,862",1.10%,0000887210,N-CSRS,14
Deutsche Bank,03/20/2018,"3,460,000",Pay: Rite Aid(T)Receive: Fixed rate equal to 5.00%,"562,640",1.62%,0000887210,N-CSRS,14
Goldman Sachs International,03/20/2018,"5,000,000",Pay: Rite Aid(T)Receive: Fixed rate equal to 5.00%,"813,063",1.62%,0000887210,N-CSRS,14
Goldman Sachs International,03/20/2018,"5,000,000",Pay: Rite Aid(T)Receive: Fixed rate equal to 5.00%,"825,563",1.62%,0000887210,N-CSRS,14
Morgan Stanley,06/20/2018,"4,500,000",Pay: New Albertsons(T)Receive: Fixed rate equal to 5.00%,"225,418",5.99%,0000887210,N-CSRS,14
Morgan Stanley,06/20/2018,"4,515,000",Pay: New Albertsons(T)Receive: Fixed rate equal to 5.00%,"237,457",5.99%,0000887210,N-CSRS,14
