Counterparty,Reference Entity/Obligation,Protection,"Fixed Rate
  (%)",Date,Amount,(Depreciation),CIK,Reporting Type,Report Year
UBS AG,"Australia & NZ
  Banking Group 4.450%, 02/05/15",Buy,(0.350),09/20/17,50000,1080,0000895430,N-Q,08
"Citibank N.A., New York","Bank of Scotland 5.125%,
  12/05/13",Buy,(0.660),09/20/17,100000,4179,0000895430,N-Q,08
UBS AG,"Bank of Scotland 5.125%,
  12/05/13",Buy,(0.410),09/20/17,50000,3048,0000895430,N-Q,08
"Citibank N.A., New York","BNP Paribas 5.250%,
  12/17/12",Buy,(0.520),09/20/17,100000,3772,0000895430,N-Q,08
UBS AG,CDX.EM.7 Index,Buy,(1.250),06/20/12,1000000,9302,0000895430,N-Q,08
"Citibank N.A., New York",CMBX.NA.AAA.4 Index,Sell,0.35,02/17/51,1000000,"(10,137)",0000895430,N-Q,08
Barclays Bank PLC,"Federative Republic of
  Brazil 12.250%, 03/06/30",Sell,0.24,06/20/08,2850000,"(2,057)",0000895430,N-Q,08
"Citibank N.A., New York","Federative Republic of
  Brazil 12.250%, 03/06/30",Sell,0.24,07/20/08,1200000,"(1,047)",0000895430,N-Q,08
"Citibank N.A., New York","Federative Republic of
  Brazil 12.250%, 03/06/30",Buy,(0.740),07/20/12,300000,6189,0000895430,N-Q,08
UBS AG,"HSBC Bank PLC 4.250%,
  03/18/16",Buy,(0.400),09/20/17,50000,2754,0000895430,N-Q,08
UBS AG,"Royal Bank of Scotland
  PLC 6.000%, 05/10/13",Buy,(0.400),09/20/17,50000,3004,0000895430,N-Q,08
"Citibank N.A., New York","Societe Generale 6.625%,
  04/27/15",Buy,(0.510),09/20/17,100000,4830,0000895430,N-Q,08
UBS AG,"Societe Generale 6.625%,
  04/27/15",Buy,(0.380),09/20/17,50000,2916,0000895430,N-Q,08
"Citibank N.A., New York","Standard Chartered Bank
  3.625%, 02/03/17",Buy,(0.670),09/20/17,100000,3844,0000895430,N-Q,08
UBS AG,"Standard Chartered Bank
  3.625%, 02/03/17",Buy,(0.420),09/20/17,50000,2885,0000895430,N-Q,08
"Citibank N.A., New York","United Mexican States
  7.500%, 04/08/33",Sell,0.16,07/20/08,1200000,(147),0000895430,N-Q,08
"Citibank N.A., New York","United Mexican States
  7.500%, 04/08/33",Buy,(0.355),07/20/12,150000,4031,0000895430,N-Q,08
UBS AG,"Westpac Banking Corp.
  5.875%, 04/29/18",Buy,(0.350),09/20/17,50000,2674,0000895430,N-Q,08
