Counterparty (Issuer),Reference Entity,Credit Spread,(Pay)/ ReceiveFixed Rate ,Expiration Date,Notional Amount,CIK,Reporting Type,Report Year
Deutsche Bank AG,United Mexican States;,1.11,1.0,03/20/2015,800,0000898745,N-CSRS,12
Goldman Sachs & Co,Berkshire Hathaway,1.19,1.0,03/20/2015,1100,0000898745,N-CSRS,12
Goldman Sachs & Co,France (Govt of) OAT,1.63,0.25,03/20/2016,21400,0000898745,N-CSRS,12
Goldman Sachs & Co,France (Govt of) OAT,1.68,0.25,06/20/2016,7500,0000898745,N-CSRS,12
Goldman Sachs & Co,Japanese Government,1.28,1.0,06/20/2016,3300,0000898745,N-CSRS,12
Goldman Sachs & Co,Republic of Brazil,0.87,1.0,06/20/2015,500,0000898745,N-CSRS,12
Goldman Sachs & Co,UK GILT; 4.25%;,0.5,1.0,06/20/2015,12300,0000898745,N-CSRS,12
Goldman Sachs & Co,UK GILT; 4.25%;,0.59,1.0,12/20/2015,2100,0000898745,N-CSRS,12
Goldman Sachs & Co,UK GILT; 4.25%;,0.59,1.0,12/20/2015,1000,0000898745,N-CSRS,12
Goldman Sachs & Co,United Mexican States;,1.26,1.0,03/20/2016,1900,0000898745,N-CSRS,12
HSBC Securities Inc,France (Govt of) OAT,1.73,0.25,09/20/2016,400,0000898745,N-CSRS,12
HSBC Securities Inc,France (Govt of) OAT,1.73,0.25,09/20/2016,500,0000898745,N-CSRS,12
HSBC Securities Inc,Republic of Brazil,0.87,1.0,06/20/2015,4400,0000898745,N-CSRS,12
HSBC Securities Inc,Republic of Brazil,1.27,1.0,12/20/2015,5200,0000898745,N-CSRS,12
HSBC Securities Inc,Republic of Brazil,0.87,1.0,06/20/2015,2100,0000898745,N-CSRS,12
HSBC Securities Inc,Republic of Brazil,1.06,1.0,06/20/2016,6000,0000898745,N-CSRS,12
HSBC Securities Inc,Republic of Brazil,1.31,1.0,03/20/2016,38100,0000898745,N-CSRS,12
HSBC Securities Inc,Republic of Brazil,1.24,1.0,09/20/2015,1500,0000898745,N-CSRS,12
HSBC Securities Inc,Republic of Brazil,0.87,1.0,06/20/2015,24500,0000898745,N-CSRS,12
HSBC Securities Inc,United Mexican States;,1.7,1.0,03/20/2021,7500,0000898745,N-CSRS,12
JP Morgan Chase,General Electric Capital,1.43,1.0,03/20/2014,3400,0000898745,N-CSRS,12
JP Morgan Chase,Morgan Stanley Dean,2.4,1.0,09/20/2012,1100,0000898745,N-CSRS,12
JP Morgan Chase,Republic of Brazil,1.39,1.0,09/20/2016,1200,0000898745,N-CSRS,12
Morgan Stanley & Co,France (Govt of) OAT,1.63,0.25,03/20/2016,500,0000898745,N-CSRS,12
Morgan Stanley & Co,Republic of Brazil,0.87,1.0,06/20/2015,600,0000898745,N-CSRS,12
Morgan Stanley & Co,Republic of Indonesia,2.25,1.0,06/20/2021,7700,0000898745,N-CSRS,12
