Counterparty (Issuer),Reference Entity,"ImpliedCredit Spreadas of April30, 2013 (c)",(Pay)/ReceiveFixed Rate,ExpirationDate,NotionalAmount (a),Fair Value(b),UpfrontPremiumsPaid/(Received) ,UnrealizedAppreciation/(Depreciation),CIK,Reporting Type,Report Year
Citibank NA,Mexico Government,0.29,1.0,03/20/2015,"1,500",19,(13,32,0000898745,N-CSR,13
Citibank NA,Mexico Government,0.36,1.0,09/20/2015,700,10,(5,15,0000898745,N-CSR,13
Citibank NA,Republic of Brazil Global,0.62,1.0,09/20/2015,"1,000",9,(7,16,0000898745,N-CSR,13
Citibank NA,Republic of Brazil Global,0.57,1.0,06/20/2015,"1,000",(12,20,,0000898745,N-CSR,13
Citibank NA,Republic of Brazil Global,0.73,1.0,06/20/2016,"5,400",41,(11,52,0000898745,N-CSR,13
Citibank NA,Republic of Brazil Global,1.4,1.0,03/20/2021,"9,900",(284,(346,62,0000898745,N-CSR,13
Citibank NA,Republic of Indonesia,1.76,1.0,06/20/2021,"14,200",(802,(735,(67,0000898745,N-CSR,13
Citibank NA,California State; 5.25%;,0.0,1.0,06/20/2023,"1,200",(9,(20,11,0000898745,N-CSR,13
Citibank NA,Italy (Republic of);,2.46,1.0,03/20/2018,"1,000",(66,(62,(4,0000898745,N-CSR,13
Deutsche Bank AG,General Electric Capital,0.15,4.23,12/20/2013,800,21,21,,0000898745,N-CSR,13
Deutsche Bank AG,General Electric Capital,0.15,4.3,12/20/2013,300,,,,0000898745,N-CSR,13
Deutsche Bank AG,General Electric Capital,0.15,4.75,12/20/2013,100,,,,0000898745,N-CSR,13
Deutsche Bank AG,General Electric Capital,0.15,4.9,12/20/2013,300,9,9,,0000898745,N-CSR,13
Deutsche Bank AG,Italy (Republic of);,2.51,1.0,06/20/2018,"1,900",(135,(152,17,0000898745,N-CSR,13
Deutsche Bank AG,Italy (Republic of);,2.46,1.0,03/20/2018,"2,900",(190,(206,16,0000898745,N-CSR,13
Deutsche Bank AG,Metlife Inc; 5.00%;,1.08,1.0,03/20/2018,"2,700",(9,(107,98,0000898745,N-CSR,13
Deutsche Bank AG,Mexico Government,0.43,1.0,03/20/2016,"5,600",88,(23,111,0000898745,N-CSR,13
Deutsche Bank AG,Mexico Government,0.29,1.0,03/20/2015,800,10,(7,17,0000898745,N-CSR,13
Deutsche Bank AG,Petrobas International;,0.67,1.0,09/20/2013,"7,100",9,(4,13,0000898745,N-CSR,13
Deutsche Bank AG,Republic of Brazil Global,0.57,1.0,06/20/2015,600,(2,,,0000898745,N-CSR,13
Deutsche Bank AG,Republic of Indonesia;,0.58,1.0,09/20/2015,500,(6,10,,0000898745,N-CSR,13
Goldman Sachs & Co,Berkshire Hathaway,0.33,1.0,03/20/2015,"1,100",14,(7,21,0000898745,N-CSR,13
Goldman Sachs & Co,Japanese Government,0.52,1.0,06/20/2016,"2,100",38,13,25,0000898745,N-CSR,13
Goldman Sachs & Co,MCDX.20.10Y,,1.0,06/20/2023,"1,000",(27,(43,16,0000898745,N-CSR,13
Goldman Sachs & Co,Mexico Government,0.43,1.0,03/20/2016,"1,900",30,(38,68,0000898745,N-CSR,13
Goldman Sachs & Co,Republic of Brazil Global,0.57,1.0,06/20/2015,500,(3,,,0000898745,N-CSR,13
Goldman Sachs & Co,UK Gilt; 4.25%;,0.28,1.0,06/20/2015,"1,000",16,12,,0000898745,N-CSR,13
