Counterparty (Issuer),Reference Entity,Fixed Rate ,Date,Amount (a),CIK,Reporting Type,Report Year
Deutsche Bank AG,Mexico Government Global,1,03/20/2015,800,0000898745,N-CSR,14
Deutsche Bank AG,Republic of Brazil Global,1,06/20/2015,600,0000898745,N-CSR,14
Deutsche Bank AG,Republic of Indonesia;,1,09/20/2015,500,0000898745,N-CSR,14
Deutsche Bank AG,Russian Foreign Bond -,1,03/20/2019,1900,0000898745,N-CSR,14
Goldman Sachs & Co,Berkshire Hathaway,1,03/20/2015,1100,0000898745,N-CSR,14
Goldman Sachs & Co,Mexico Government Global,1,03/20/2016,1900,0000898745,N-CSR,14
Goldman Sachs & Co,Republic of Brazil Global,1,06/20/2015,500,0000898745,N-CSR,14
Goldman Sachs & Co,UK Gilt; 4.25%; 06/07/2032,1,06/20/2015,1000,0000898745,N-CSR,14
HSBC Securities Inc,Italy Government,1,06/20/2019,500,0000898745,N-CSR,14
HSBC Securities Inc,Mexico Government,(1.00,12/20/2016,100,0000898745,N-CSR,14
HSBC Securities Inc,Mexico Government,1,09/20/2016,300,0000898745,N-CSR,14
HSBC Securities Inc,Republic of Brazil Global,1,06/20/2015,2100,0000898745,N-CSR,14
HSBC Securities Inc,Republic of Brazil Global,1,06/20/2015,4400,0000898745,N-CSR,14
HSBC Securities Inc,Republic of Brazil Global,1,06/20/2016,6000,0000898745,N-CSR,14
HSBC Securities Inc,Republic of Brazil Global,1,12/20/2015,5200,0000898745,N-CSR,14
HSBC Securities Inc,Republic of Brazil Global,1,09/20/2015,1500,0000898745,N-CSR,14
HSBC Securities Inc,Russian Foreign Bond -,1,06/20/2017,300,0000898745,N-CSR,14
JP Morgan Chase,Mexico Government Global,1,12/20/2018,3000,0000898745,N-CSR,14
JP Morgan Chase,Mexico Government Global,1,09/20/2017,9600,0000898745,N-CSR,14
JP Morgan Chase,Mexico Government,1,12/20/2016,1800,0000898745,N-CSR,14
JP Morgan Chase,Mexico Government,1,09/20/2016,200,0000898745,N-CSR,14
JP Morgan Chase,Republic of Brazil Global,1,09/20/2016,1200,0000898745,N-CSR,14
JP Morgan Chase,Russian Foreign Bond -,1,06/20/2019,200,0000898745,N-CSR,14
Morgan Stanley & Co,Republic of Brazil Global,1,06/20/2015,600,0000898745,N-CSR,14
Morgan Stanley & Co,Republic of Indonesia 144A,1,12/20/2015,1100,0000898745,N-CSR,14
Royal Bank of Scotland PLC , Mexico Government Global,1,09/20/2015,2100,0000898745,N-CSR,14
UBS AG,Berkshire Hathaway,1,03/20/2015,1100,0000898745,N-CSR,14
UBS AG,Republic of Brazil Global,1,09/20/2015,500,0000898745,N-CSR,14
