Counterparty (Issuer),Reference Entity,Fixed Rate,Date,Amount,CIK,Reporting Type,Report Year
Barclays Bank PLC,AngloGold Ashanti Holdings PLC,(1.00,09/21/2020,10000,0000898745,N-CSR,16
Barclays Bank PLC,CDX.EM.24,(1.00,12/20/2020,515,0000898745,N-CSR,16
Barclays Bank PLC,Emirate of Dubai Government,(5.00,12/20/2020,10000,0000898745,N-CSR,16
Barclays Bank PLC,Emirate of Dubai Government,(5.00,12/20/2020,10000,0000898745,N-CSR,16
Barclays Bank PLC,ITRAXX.ASIA,(1.00,12/20/2020,2050,0000898745,N-CSR,16
Barclays Bank PLC,Kazakhstan Government,(1.00,12/20/2020,10000,0000898745,N-CSR,16
Barclays Bank PLC,Mexico Government International,(1.00,12/20/2020,780,0000898745,N-CSR,16
Barclays Bank PLC,Turkey Government International,(1.00,09/20/2020,2350,0000898745,N-CSR,16
Citigroup Inc,Kingdom of Saudi Arabia,(1.00,12/20/2020,5000,0000898745,N-CSR,16
Citigroup Inc,Kingdom of Saudi Arabia,(1.00,12/20/2020,5000,0000898745,N-CSR,16
Citigroup Inc,Mexico Government International,(1.00,12/21/2020,1090,0000898745,N-CSR,16
Citigroup Inc,Russian Agricultural Bank OJSC,(1.00,03/20/2019,5000,0000898745,N-CSR,16
Citigroup Inc,South Africa Government,(1.00,12/20/2020,20000,0000898745,N-CSR,16
Deutsche Bank AG,CDX.EM.24,(1.00,12/20/2020,3626,0000898745,N-CSR,16
Deutsche Bank AG,Mexico Government International,(1.00,12/20/2020,750,0000898745,N-CSR,16
Deutsche Bank AG,Mexico Government International,(1.00,12/20/2020,750,0000898745,N-CSR,16
JP Morgan Chase,Bank of China Ltd/Hong Kong,(1.00,09/21/2020,15000,0000898745,N-CSR,16
JP Morgan Chase,ITRAXX.ASIA,(1.00,12/20/2020,2600,0000898745,N-CSR,16
JP Morgan Chase,Kingdom of Saudi Arabia,(1.00,12/20/2020,10000,0000898745,N-CSR,16
Merrill Lynch,ITRAXX.ASIA,(1.00,12/20/2020,1950,0000898745,N-CSR,16
Citigroup Inc,Penerbangan,1.75,12/20/2020,10000,0000898745,N-CSR,16
HSBC Securities Inc,Croatia Government,2.82,09/20/2020,10000,0000898745,N-CSR,16
