Counterparty (Issuer),Reference Entity,Fixed Rate,Date,Amount (a),CIK,Reporting Type,Report Year
Citigroup Inc,Republic of Brazil Global,1,06/20/2015,1000,0000898745,N-Q,14
Citigroup Inc,Republic of Brazil Global,1,06/20/2016,5400,0000898745,N-Q,14
Citigroup Inc,Italy Government,1,06/20/2017,2700,0000898745,N-Q,14
Citigroup Inc,Mexico Government,1,06/20/2019,600,0000898745,N-Q,14
Deutsche Bank AG,Berkshire Hathaway Inc;,1,09/20/2016,1100,0000898745,N-Q,14
Deutsche Bank AG,Brazilian Government,1,03/20/2019,400,0000898745,N-Q,14
Deutsche Bank AG,General Electric Capital,1,09/20/2015,1500,0000898745,N-Q,14
Deutsche Bank AG,Italy Government,1,06/20/2019,700,0000898745,N-Q,14
Deutsche Bank AG,JP Morgan Chase & Co;,1,09/20/2016,2300,0000898745,N-Q,14
Deutsche Bank AG,Mexico Government,1,03/20/2015,800,0000898745,N-Q,14
Deutsche Bank AG,Mexico Government,1,03/20/2016,5600,0000898745,N-Q,14
Deutsche Bank AG,Republic of Brazil Global,1,06/20/2015,600,0000898745,N-Q,14
Deutsche Bank AG,Republic of Indonesia;,1,09/20/2015,500,0000898745,N-Q,14
Deutsche Bank AG,Russian Foreign Bond -,1,03/20/2019,1900,0000898745,N-Q,14
Goldman Sachs & Co,Berkshire Hathaway,1,03/20/2015,1100,0000898745,N-Q,14
Goldman Sachs & Co,Italy Government,1,06/20/2017,2600,0000898745,N-Q,14
Goldman Sachs & Co,Italy Government,1,06/20/2019,800,0000898745,N-Q,14
Goldman Sachs & Co,Mexico Government,1,03/20/2016,1900,0000898745,N-Q,14
Goldman Sachs & Co,Mexico Government,1,06/20/2019,5600,0000898745,N-Q,14
Goldman Sachs & Co,Republic of Brazil Global,1,06/20/2015,500,0000898745,N-Q,14
Goldman Sachs & Co,UK Gilt; 4.25%;,1,06/20/2015,1000,0000898745,N-Q,14
HSBC Securities Inc,Italy Government,1,06/20/2019,500,0000898745,N-Q,14
HSBC Securities Inc,Italy Government,1,06/20/2019,2200,0000898745,N-Q,14
