Counterparty (Issuer) ,Reference Entity ,Protection ,Fixed Rate ,Date ,Amount ,CIK,Reporting Type,Report Year
Bank of America NA ,Berkshire Hathaway Finance Corp; 4.63%; ,Sell ,1.00% ,03/20/2015 ,"$ 2,200 ",0000898745,N-Q,10
Bank of America NA ,Japanese Govt Bond (20Y); 2.00%; ,Sell ,1.00% ,03/20/2015 ,500,0000898745,N-Q,10
Bank of America NA ,France (Govt of) OAT BD; 4.25%; ,Sell ,0.25% ,03/20/2015 ,1000,0000898745,N-Q,10
Barclays Bank PLC ,United Mexican States; 7.50%; 04/08/2033 ,Sell ,1.00% ,03/20/2015 ,1500,0000898745,N-Q,10
Barclays Bank PLC ,Republic of Brazil Global Bond; 12.25%; ,Sell ,1.00% ,06/20/2015 ,500,0000898745,N-Q,10
Barclays Bank PLC ,Citigroup Inc; 6.50%; 01/18/2011 ,Sell ,1.00% ,03/20/2011 ,400,0000898745,N-Q,10
Citibank NA ,Republic of Brazil Global Bond; 12.25%; ,Sell ,1.00% ,06/20/2015 ,1000,0000898745,N-Q,10
Citibank NA ,United Mexican States; 7.50%; 04/08/2033 ,Sell ,1.00% ,03/20/2015 ,1500,0000898745,N-Q,10
Citibank NA ,France (Govt of) OAT BD; 4.25%; ,Sell ,0.25% ,03/20/2015 ,1400,0000898745,N-Q,10
Deutsche Bank AG ,General Electric Capital Corp; 5.63%; ,Sell ,4.75% ,12/20/2013 ,100,0000898745,N-Q,10
Deutsche Bank AG ,UK Gilt; 4.25%; 6/07/2032 ,Sell ,1.00% ,12/20/2014 ,200,0000898745,N-Q,10
Deutsche Bank AG ,United Mexican States; 7.50%; 04/08/2033 ,Sell ,1.00% ,03/20/2015 ,800,0000898745,N-Q,10
Deutsche Bank AG ,SLM Corp; 5.13%; 08/27/2012 ,Sell ,5.00% ,09/20/2010 ,100,0000898745,N-Q,10
Deutsche Bank AG ,Republic of Brazil Global Bond; 12.25%; ,Sell ,1.00% ,06/20/2015 ,600,0000898745,N-Q,10
Deutsche Bank AG ,General Electric Capital Corp; 5.63%; ,Sell ,4.23% ,12/20/2013 ,800,0000898745,N-Q,10
Deutsche Bank AG ,General Electric Capital Corp; 5.63%; ,Sell ,4.90% ,12/20/2013 ,300,0000898745,N-Q,10
Deutsche Bank AG ,General Electric Capital Corp; 5.63%; ,Sell ,4.30% ,12/20/2013 ,300,0000898745,N-Q,10
Deutsche Bank AG ,Japanese Govt Bond (20Y); 2.00%; ,Sell ,1.00% ,03/20/2015 ,1000,0000898745,N-Q,10
Deutsche Bank AG ,Republic of Indonesia; 6.75%; 03/10/2014 ,Sell ,1.00% ,09/20/2015 ,500,0000898745,N-Q,10
Goldman Sachs International ,France (Govt of) OAT BD; 4.25%; ,Sell ,0.25% ,03/20/2015 ,900,0000898745,N-Q,10
Goldman Sachs International ,Republic of Brazil Global Bond; 12.25%; ,Sell ,1.00% ,06/20/2015 ,500,0000898745,N-Q,10
Goldman Sachs International ,Berkshire Hathaway Finance Corp; 4.63%; ,Sell ,1.00% ,03/20/2015 ,1100,0000898745,N-Q,10
Goldman Sachs International ,UK GILT; 4.25%; 06/07/2032 ,Sell ,1.00% ,06/20/2015 ,12300,0000898745,N-Q,10
Goldman Sachs International ,Citigroup Inc; 6.50%; 01/18/2011 ,Sell ,1.00% ,03/20/2011 ,500,0000898745,N-Q,10
"HSBC Bank USA, N.A. ",Republic of Brazil Global Bond; 12.25%; ,Sell ,1.00% ,06/20/2015 ,1900,0000898745,N-Q,10
"HSBC Bank USA, N.A. ",Republic of Brazil Global Bond; 12.25%; ,Sell ,1.00% ,06/20/2015 ,2100,0000898745,N-Q,10
"HSBC Bank USA, N.A. ",Republic of Brazil Global Bond; 12.25%; ,Sell ,1.00% ,06/20/2015 ,4400,0000898745,N-Q,10
Morgan Stanley Capital Services Inc ,Citigroup Inc; 6.50%; 01/18/2011 ,Sell ,1.00% ,06/20/2011 ,400,0000898745,N-Q,10
Morgan Stanley Capital Services Inc ,Citigroup Inc; 6.50%; 01/18/2011 ,Sell ,1.00% ,06/20/2011 ,500,0000898745,N-Q,10
Morgan Stanley Capital Services Inc ,Republic of Brazil Global Bond; 12.25%; ,Sell ,1.00% ,06/20/2015 ,600,0000898745,N-Q,10
