"
Counterparty (Issuer) ","
Reference Entity ","
Protection ","
Fixed Rate ","
Date ","
Amount ",CIK,Reporting Type,Report Year
"
Bank of America NA ","
Berkshire Hathaway Finance Corp; 4.63%; ","
Sell ","
1.00% ","
3/20/2015 ","
$ 2,200 ",0000898745,N-Q,11
"
Bank of America NA ","
CDX.HY15.5Y ","
Sell ","
5.00% ","
12/20/2015 ","
1,100 ",0000898745,N-Q,11
"
Bank of America NA ","
CDX.IG15.5Y ","
Sell ","
1.00% ","
12/20/2015 ","
63,900 ",0000898745,N-Q,11
"
Bank of America NA ","
FRANCE (Govt of) OAT BD; 4.25%; ","
Sell ","
0.25% ","
3/20/2016 ","
1,400 ",0000898745,N-Q,11
"
Bank of America NA ","
General Electric Capital Corp; 5.63%; ","
Sell ","
1.00% ","
12/20/2015 ","
2,000 ",0000898745,N-Q,11
"
Bank of America NA ","
General Electric Capital Corp; 5.63%; ","
Sell ","
1.00% ","
12/20/2015 ","
2,100 ",0000898745,N-Q,11
"
Bank of America NA ","
Japanese Government Bond (20Y); 2.00%; ","
Sell ","
1.00% ","
3/20/2016 ","
300 ",0000898745,N-Q,11
"
Bank of America NA ","
Japanese Government Bond (20Y); 2.00%; ","
Sell ","
1.00% ","
3/20/2016 ","
200 ",0000898745,N-Q,11
"
Bank of America NA ","
MetLife Inc; 5.00%; 06/15/2015 ","
Sell ","
1.00% ","
12/20/2015 ","
3,900 ",0000898745,N-Q,11
"
Bank of America NA ","
MetLife Inc; 5.00%; 06/15/2015 ","
Sell ","
1.00% ","
9/20/2015 ","
9,500 ",0000898745,N-Q,11
"
Bank of America NA ","
United Mexican States; 7.50%; 04/08/2033 ","
Sell ","
1.00% ","
9/20/2015 ","
300 ",0000898745,N-Q,11
"
Barclays Bank PLC ","
CDX.HY15.5Y ","
Sell ","
5.00% ","
12/20/2015 ","
3,500 ",0000898745,N-Q,11
"
Barclays Bank PLC ","
Citigroup Inc; 6.50%; 01/18/2011 ","
Sell ","
1.00% ","
3/20/2011 ","
400 ",0000898745,N-Q,11
"
Barclays Bank PLC ","
FRANCE (Govt of) OAT BD; 4.25%; ","
Sell ","
0.25% ","
3/20/2016 ","
1,000 ",0000898745,N-Q,11
"
Barclays Bank PLC ","
Merrill Lynch & Co; 5.00%; 01/15/2015 ","
Sell ","
1.00% ","
12/20/2011 ","
6,200 ",0000898745,N-Q,11
"
Barclays Bank PLC ","
Republic of Brazil Global Bond; 12.25%; ","
Sell ","
1.00% ","
6/20/2015 ","
500 ",0000898745,N-Q,11
"
Barclays Bank PLC ","
Republic of Brazil Global Bond; 12.25%; ","
Sell ","
1.00% ","
12/20/2015 ","
11,600 ",0000898745,N-Q,11
"
Barclays Bank PLC ","
Republic of Italy Global Bond; 6.88%; ","
Sell ","
1.00% ","
3/20/2016 ","
1,200 ",0000898745,N-Q,11
"
Barclays Bank PLC ","
United Mexican States; 7.50%; 04/08/2033 ","
Sell ","
1.00% ","
3/20/2015 ","
1,500 ",0000898745,N-Q,11
"
Citibank NA ","
Berkshire Hathaway Finance Corp; 4.63%; ","
Sell ","
1.00% ","
3/20/2016 ","
300 ",0000898745,N-Q,11
"
Citibank NA ","
CDX.HY15.5Y ","
Sell ","
5.00% ","
12/20/2015 ","
6,600 ",0000898745,N-Q,11
"
Citibank NA ","
CDX.IG15.5Y ","
Sell ","
1.00% ","
12/20/2015 ","
10,800 ",0000898745,N-Q,11
"
Citibank NA ","
Republic of Brazil Global Bond; 12.25%; ","
Sell ","
1.00% ","
6/20/2015 ","
1,000 ",0000898745,N-Q,11
"
Citibank NA ","
Republic of Brazil Global Bond; 12.25%; ","
Sell ","
1.00% ","
9/20/2015 ","
1,000 ",0000898745,N-Q,11
"
Citibank NA ","
United Mexican States; 7.50%; 04/08/2033 ","
Sell ","
1.00% ","
3/20/2015 ","
1,500 ",0000898745,N-Q,11
"
Citibank NA ","
United Mexican States; 7.50%; 04/08/2033 ","
Sell ","
1.00% ","
9/20/2015 ","
700 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
CDX.HY15.5Y ","
Sell ","
5.00% ","
12/20/2015 ","
25,400 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
CDX.IG15.5Y ","
Sell ","
1.00% ","
12/20/2015 ","
45,800 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
FRANCE (Govt of) OAT BD; 4.25%; ","
Sell ","
0.25% ","
3/20/2016 ","
500 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
General Electric Capital Corp; 5.63%; ","
Sell ","
4.75% ","
12/20/2013 ","
100 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
General Electric Capital Corp; 5.63%; ","
Sell ","
4.23% ","
12/20/2013 ","
800 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
General Electric Capital Corp; 5.63%; ","
Sell ","
4.90% ","
12/20/2013 ","
300 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
General Electric Capital Corp; 5.63%; ","
Sell ","
4.30% ","
12/20/2013 ","
300 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
Japanese Government Bond (20Y); 2.00%; ","
Sell ","
1.00% ","
3/20/2015 ","
1,000 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
Republic of Brazil Global Bond; 12.25%; ","
Sell ","
1.00% ","
6/20/2015 ","
600 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
Republic of Indonesia; 6.75%; 03/10/2014 ","
Sell ","
1.00% ","
9/20/2015 ","
500 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
UK Gilt; 4.25%; 6/07/2032 ","
Sell ","
1.00% ","
12/20/2014 ","
200 ",0000898745,N-Q,11
"
Deutsche Bank AG ","
United Mexican States; 7.50%; 04/08/2033 ","
Sell ","
1.00% ","
3/20/2015 ","
800 ",0000898745,N-Q,11
