Counterparty (Issuer) ,Reference Entity ,Fixed Rate ,Date ,CIK,Reporting Type,Report Year
Bank of America NA ,Berkshire Hathaway Finance ,1.00% ,03/20/2015 ,0000898745,N-Q,11
Bank of America NA ,CDX.IG.16.5Y ,1.00% ,06/20/2016 ,0000898745,N-Q,11
Bank of America NA ,Credit Agricole (London); ,1.00% ,06/20/2016 ,0000898745,N-Q,11
Bank of America NA ,France (Govt of) OAT BD; ,0.25% ,03/20/2016 ,0000898745,N-Q,11
Bank of America NA ,General Electric Capital ,1.00% ,12/20/2015 ,0000898745,N-Q,11
Bank of America NA ,General Electric Capital ,1.00% ,12/20/2015 ,0000898745,N-Q,11
Bank of America NA ,Japanese Government Bond ,1.00% ,03/20/2016 ,0000898745,N-Q,11
Bank of America NA ,Japanese Government Bond ,1.00% ,03/20/2016 ,0000898745,N-Q,11
Bank of America NA ,MetLife Inc; 5.00%; ,1.00% ,12/20/2015 ,0000898745,N-Q,11
Bank of America NA ,MetLife Inc; 5.00%; ,1.00% ,09/20/2015 ,0000898745,N-Q,11
Bank of America NA ,Republic of Indonesia 144A ,1.00% ,06/20/2021 ,0000898745,N-Q,11
