Amount,Date,Description,Appreciation/Depreciation,CIK,Reporting Type,Report Year
45000,2/25/35,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 2.20% per year times the notional amount. The
  Fund receives payment only upon a default event of Fremont Home Loan Trust,
  Series 2005-A, Class M9.",(52,0000916053,N-Q,06
45000,1/25/35,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 2.25% per year times the notional amount. The
  Fund receives payment only upon a default event of Morgan Stanley
  Capital I, Series 2005-WMC1, Class B3.",180,0000916053,N-Q,06
45000,4/25/35,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 2.25% per year times the notional amount. The
  Fund receives payment only upon a default event of Aames Mortgage Investment
  Trust, Series 2005-1, Class M9.",138,0000916053,N-Q,06
45000,10/25/35,"Agreement with
  Deutsche Bank AG dated 2/18/05 to pay 2.25% per year times the notional
  amount. The Fund receives payment only upon a default event of Merrill Lynch
  Mortgage Investors, Series 2005-NC1, Class B3.",200,0000916053,N-Q,06
45000,10/25/35,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 1.30% per year times the notional amount. The
  Fund receives payment only upon a default event of Merrill Lynch Mortgage
  Investors, Series 2005-NC1, Class B2.",105,0000916053,N-Q,06
45000,9/25/35,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 2.25% per year times the notional amount. The
  Fund receives payment only upon a default event of Merrill Lynch Mortgage
  Investors, Series 2005-WMC1, Class B3.",(53,0000916053,N-Q,06
45000,1/25/35,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 1.40% per year times the notional amount. The
  Fund receives payment only upon a default event of People s Choice Home Loan
  Securities Trust, Series 2005-1, Class B2.",(59,0000916053,N-Q,06
45000,2/25/35,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 1.25% per year times the notional amount. The
  Fund receives payment only upon a default event of Long Beach Mortgage Loan
  Trust, Series 2005-1, Class M8.",(173,0000916053,N-Q,06
45000,3/25/35,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 2.25% per year times the notional amount. The
  Fund receives payment only upon a default event of New Century Home Equity
  Loan Trust, Series 2005-1, Class M9.",232,0000916053,N-Q,06
45000,1/25/36,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 2.25% per year times the notional amount. The
  Fund receives payment only upon a default event of Park Place
  Securities, Inc., Series 2005-WCH1, Class M9.",117,0000916053,N-Q,06
45000,11/25/34,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 1.40% per year times the notional amount. The
  Fund receives payment only upon a default event of Argent
  Securities, Inc., Series 2004-W11, Class M9.",(145,0000916053,N-Q,06
45000,2/25/35,"Agreement with Deutsche
  Bank AG dated 2/18/05 to pay 2.25% per year times the notional amount. The
  Fund receives payment only upon a default event of Long Beach Mortgage Loan
  Trust, Series 2005-1, Class M9.",821,0000916053,N-Q,06
