Notional Amount,Expiration Date,Description,Appreciation/Depreciation,CIK,Reporting Type,Report Year
"45,000 USD",02/25/35,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 1.30% per default event of ACE Securities Corp.,
  Series 2005-HE1, Class M8.",2788,0000916053,N-Q,07
"45,000 USD",11/25/34,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 1.40% per year times the notional amount. The
  Fund receives payment only upon a default event of Finance America Mortgage
  Loan, Series 2004-3, Class M8.",2632,0000916053,N-Q,07
"45,000 USD",01/25/36,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 2.25% per year times the notional amount. The
  Fund receives payment only upon a default event of Park Place Securities, Inc.,
  Series 2005-WCH1, Class M9.",4818,0000916053,N-Q,07
"45,000 USD",02/25/35,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 2.20% per year times the notional amount. The
  Fund receives payment only upon a default event of ACE Securities Corp.,
  Series 2005-HE1, Class M9.",3789,0000916053,N-Q,07
"45,000 USD",11/25/34,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 1.40% per year times the notional amount. The
  Fund receives payment only upon a default event of Argent
  Securities, Inc., Series 2004-W11, Class M9.",2731,0000916053,N-Q,07
"45,000 USD",11/25/34,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 2.25% per year times the notional amount. The
  Fund receives payment only upon a default event of Finance America Mortgage
  Loan, Series 2004-3, Class M8.",3630,0000916053,N-Q,07
"45,000 USD",02/25/35,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 2.25% per year times the notional amount. The
  Fund receives payment only upon a default event of Long Beach Mortgage Loan
  Trust, Series 2005-1, Class M9.",4507,0000916053,N-Q,07
"45,000 USD",12/25/34,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 1.25% per year times the notional amount. The
  Fund receives payment only upon a default event of MASTR Asset Backed
  Securities, Series 2005-NC1, Class M8.",2637,0000916053,N-Q,07
"45,000 USD",12/25/34,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 2.20% per year times the notional amount. The
  Fund receives payment only upon a default event of MASTR Asset Backed
  Securities, Series 2005-NC1, Class M9.",3663,0000916053,N-Q,07
"45,000 USD",11/25/34,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 2.25% per year times the notional amount. The
  Fund receives payment only upon a default event of Argent
  Securities, Inc., Series 2004-W11, Class M10.",3632,0000916053,N-Q,07
"45,000 USD",03/25/35,"Agreement with Deutsche
  Bank AG dated 2/19/05 to pay 1.45% per year times the notional amount. The
  Fund receives payment only upon a default event of Aegis Asset Backed
  Securities Trust, Series 2005-1, Class B2.",3234,0000916053,N-Q,07
