"Settlement Date
","Counterparty
","Currency
Units to
Receive/Deliver
","In
Exchange
For
","Unrealized
Appreciation
(Depreciation)
",CIK,Reporting Type,Report Year
"3/20/2017
","State Street
","2,400,000 RON
","$570,749
","$(8,741)
",0000918199,N-Q,17
"3/23/2017
","BNP Paribas
","9,700,000 PLN
","$2,294,229
","$90,687
",0000918199,N-Q,17
"4/10/2017
","Credit Agricole
","14,850,000 ARS
","$900,000
","$40,437
",0000918199,N-Q,17
"4/26/2017
","BNP Paribas
","26,300,000 ZAR
","$1,975,661
","$9,052
",0000918199,N-Q,17
"5/24/2017
","BNY Mellon
","70,000,000 MXN
","$3,526,715
","$(84,698)
",0000918199,N-Q,17
"7/10/2017
","BNP Paribas
","1,800,000 EGP
","$94,987
","$8,562
",0000918199,N-Q,17
"7/10/2017
","BNP Paribas
","1,800,000 EGP
","$94,737
","$8,811
",0000918199,N-Q,17
"7/10/2017
","BNP Paribas
","3,598,900 EGP
","$188,671
","$18,362
",0000918199,N-Q,17
"7/10/2017
","BNP Paribas
","4,500,000 EGP
","$236,655
","$22,215
",0000918199,N-Q,17
"3/9/2017
","BNP Paribas
","62,170,000 RUB
","$999,839
","$(63,191)
",0000918199,N-Q,17
"3/9/2017
","BNP Paribas
","55,500,000 RUB
","$860,232
","$(88,749)
",0000918199,N-Q,17
"3/20/2017
","State Street
","2,400,000 RON
","$571,973
","$9,965
",0000918199,N-Q,17
"3/28/2017
","BNP Paribas
","13,500,000 ARS
","$802,616
","$(56,814)
",0000918199,N-Q,17
"3/28/2017
","Citibank
","7,360,378 TRY
","$2,021,719
","$16,112
",0000918199,N-Q,17
"4/4/2017
","Morgan Stanley
","7,500,000 BRL
","$2,363,917
","$(26,146)
",0000918199,N-Q,17
"4/6/2017
","BNP Paribas
","610,000,000 COP
","$202,928
","$(4,271)
",0000918199,N-Q,17
"4/10/2017
","Credit Agricole
","14,850,000 ARS
","$936,318
","$(4,120)
",0000918199,N-Q,17
"4/26/2017
","Barclays
","8,169,475 ZAR
","$615,000
","$(1,504)
",0000918199,N-Q,17
"4/26/2017
","Goldman Sachs
","8,344,627 ZAR
","$615,000
","$(14,722)
",0000918199,N-Q,17
"7/10/2017
","BNP Paribas
","10,800,000 EGP
","$614,980
","$(6,309)
",0000918199,N-Q,17
"7/10/2017
","BNP Paribas
","897,731 EGP
","$51,892
","$248
",0000918199,N-Q,17
