"
Entity
","
Counterparty
","
Amount
","
Rate**
","
Date
","
Rate***
",CIK,Reporting Type,Report Year
"

    Argentina

","
    Bank of America
","
    18,980
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Bank of America
","
    19,202
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Bank of America
","
    19,081
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Bank of America
","
    37,961
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Bank of America
","
    115,016
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Credit Suisse
","
    19,169
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Credit Suisse
","
    19,361
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Credit Suisse
","
    18,925
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Credit Suisse
","
    19,049
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Deutsche Bank
","
    10,128
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Deutsche Bank
","
    16,380
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Deutsche Bank
","
    19,049
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Argentina

","
    Deutsche Bank
","
    19,081
",5.0,"
    6/20/13
",7.01,0000918706,N-CSR,11
"

    Iceland

","
    Barclays Bank PLC
","
    5,000
",1.7,"
    3/20/18
",2.94,0000918706,N-CSR,11
"

    Iceland

","
    Credit Suisse
","
    5,000
",1.7,"
    3/20/18
",2.94,0000918706,N-CSR,11
"

    Iceland

","
    JPMorgan Chase Bank
","
    6,600
",1.75,"
    3/20/18
",2.94,0000918706,N-CSR,11
"

    Iceland

","
    JPMorgan Chase Bank
","
    5,000
",2.1,"
    3/20/23
",2.94,0000918706,N-CSR,11
"

    Iceland

","
    JPMorgan Chase Bank
","
    5,000
",2.45,"
    3/20/23
",2.94,0000918706,N-CSR,11
"

    South Africa

","
    Bank of America
","
    5,575
",1.0,"
    9/20/15
",1.4,0000918706,N-CSR,11
"

    South Africa

","
    Bank of America
","
    5,160
",1.0,"
    12/20/15
",1.43,0000918706,N-CSR,11
"

    South Africa

","
    Bank of America
","
    16,990
",1.0,"
    12/20/15
",1.43,0000918706,N-CSR,11
"

    South Africa

","
    Barclays Bank PLC
","
    10,000
",1.0,"
    6/20/15
",1.36,0000918706,N-CSR,11
"

    South Africa

","
    Barclays Bank PLC
","
    12,000
",1.0,"
    9/20/15
",1.4,0000918706,N-CSR,11
"

    South Africa

","
    Barclays Bank PLC
","
    7,340
",1.0,"
    12/20/15
",1.43,0000918706,N-CSR,11
"

    South Africa

","
    Barclays Bank PLC
","
    12,010
",1.0,"
    12/20/15
",1.43,0000918706,N-CSR,11
"

    South Africa

","
    Markets
","
    5,000
",1.0,"
    6/20/15
",1.36,0000918706,N-CSR,11
"

    South Africa

","
    Credit Suisse
","
    10,000
",1.0,"
    6/20/15
",1.36,0000918706,N-CSR,11
"

    South Africa

","
    Credit Suisse
","
    5,000
",1.0,"
    6/20/15
",1.36,0000918706,N-CSR,11
"

    South Africa

","
    Credit Suisse
","
    10,450
",1.0,"
    12/20/15
",1.43,0000918706,N-CSR,11
"

    South Africa

","
    Credit Suisse
","
    7,740
",1.0,"
    12/20/15
",1.43,0000918706,N-CSR,11
"

    South Africa

","
    Credit Suisse
","
    16,990
",1.0,"
    12/20/15
",1.43,0000918706,N-CSR,11
"

    South Africa

","
    Deutsche Bank
","
    12,500
",1.0,"
    9/20/15
",1.4,0000918706,N-CSR,11
"

    South Africa

","
    Deutsche Bank
","
    5,500
",1.0,"
    9/20/15
",1.4,0000918706,N-CSR,11
"

    South Africa

","
    Deutsche Bank
","
    1,450
",1.0,"
    9/20/15
",1.4,0000918706,N-CSR,11
"

    South Africa

","
    Deutsche Bank
","
    5,575
",1.0,"
    9/20/15
",1.4,0000918706,N-CSR,11
"

    South Africa

","
    Deutsche Bank
","
    13,005
",1.0,"
    12/20/15
",1.43,0000918706,N-CSR,11
"

    South Africa

","
    Goldman Sachs, Inc.
","
    8,020
",1.0,"
    12/20/15
",1.43,0000918706,N-CSR,11
"

    South Africa

","
    Goldman Sachs, Inc.
","
    17,335
",1.0,"
    12/20/15
",1.43,0000918706,N-CSR,11
"

    South Africa

","
    JPMorgan Chase Bank
","
    5,000
",1.0,"
    6/20/15
",1.36,0000918706,N-CSR,11
"

    South Africa

","
    JPMorgan Chase Bank
","
    5,000
",1.0,"
    6/20/15
",1.36,0000918706,N-CSR,11
