Swap Counterparty and Reference Obligation,Buy/Sell Protection,Amount (000),Pay/Receive Fixed Rate,Termination Date,CIK,Reporting Type,Report Year
"Goodrich Corp., 7.63%, 12/15/12",Buy,$  60,0.7,3/20/13,0000921187,N-CSRS,08
"Goodrich Corp., 7.63%, 12/15/12",Buy,45,0.82,3/20/18,0000921187,N-CSRS,08
"Nordstrom, Inc., 6.95%, 3/15/28",Buy,60,1.03,3/20/18,0000921187,N-CSRS,08
"Pactiv Corp., 8.13%, 6/15/17",Buy,140,1.38,3/20/13,0000921187,N-CSRS,08
"Sealed Air Corp., 5.63%, 7/15/13",Buy,30,1.08,3/20/18,0000921187,N-CSRS,08
"Sealed Air Corp., 5.63%, 7/15/13",Buy,40,1.12,3/20/18,0000921187,N-CSRS,08
"Textron Financial Corp., 5.13%, 2/3/11",Buy,75,0.8,3/20/18,0000921187,N-CSRS,08
"Toll Brothers Finance Corp., 6.88%,
  11/15/12",Buy,40,2.25,3/20/18,0000921187,N-CSRS,08
"Toll Brothers Finance Corp., 6.88%,
  11/15/12",Buy,80,2.9,3/20/13,0000921187,N-CSRS,08
"The Walt Disney Co., 6.65%, 1/15/28",Buy,230,0.77,3/20/13,0000921187,N-CSRS,08
"Eaton Corp., 7.65%, 11/15/29",Buy,120,0.82,3/20/18,0000921187,N-CSRS,08
ABX HE-AAA 06-1 Index,Buy,90,0.18,7/25/45,0000921187,N-CSRS,08
"Arrow Electronics, Inc., 6.88%, 6/1/18",Buy,100,1.0,3/20/15,0000921187,N-CSRS,08
"Arrow Electronics, Inc., 6.88%, 6/1/18",Buy,125,1.11,3/20/13,0000921187,N-CSRS,08
"Pactiv Corp., 8.13%, 6/15/17",Buy,140,1.35,3/20/13,0000921187,N-CSRS,08
Dow Jones CDX North American Investment,Buy,85,5.0,6/20/13,0000921187,N-CSRS,08
"Pactiv Corp., 8.13%, 6/15/17",Buy,40,1.34,3/20/13,0000921187,N-CSRS,08
"American Standard, Inc., 7.63%,
  2/15/10",Buy,30,0.5,3/20/18,0000921187,N-CSRS,08
"American Standard, Inc., 7.63%,
  2/15/10",Buy,15,0.6,3/20/18,0000921187,N-CSRS,08
"AvalonBay Communities, Inc., 6.13%,
  11/1/12",Buy,140,2.2,6/20/13,0000921187,N-CSRS,08
"AvalonBay Communities, Inc., 6.13%,
  11/1/12",Buy,155,3.05,3/20/13,0000921187,N-CSRS,08
"Carnival Corp., 6.65%, 1/15/28",Buy,95,1.57,3/20/18,0000921187,N-CSRS,08
"Coca-Cola Enterprises, Inc., 6.13%,
  8/15/11",Buy,160,0.59,3/20/13,0000921187,N-CSRS,08
Dow Jones CDX North American Investment,Sell,90,1.4,12/20/12,0000921187,N-CSRS,08
"Eaton Corp., 7.65%, 11/15/29",Buy,50,0.97,3/20/18,0000921187,N-CSRS,08
"Eaton Corp., 7.38%, 11/15/31",Buy,150,1.25,3/20/13,0000921187,N-CSRS,08
"Goodrich Corp., 7.63%, 12/15/12",Buy,50,0.47,3/20/18,0000921187,N-CSRS,08
"Merrill Lynch & Co., 5.00%,
  1/15/15",Buy,85,2.45,12/20/12,0000921187,N-CSRS,08
"ProLogis, 5.50%, 3/1/13",Buy,90,2.97,6/20/13,0000921187,N-CSRS,08
"ProLogis, 5.50%, 3/1/13",Buy,70,3.33,3/20/13,0000921187,N-CSRS,08
"Sealed Air Corp., 5.63%, 7/15/13",Buy,60,1.08,3/20/18,0000921187,N-CSRS,08
"Sealed Air Corp., 5.63%, 7/15/13",Buy,30,1.24,3/20/18,0000921187,N-CSRS,08
"Textron Financial Corp., 5.13%, 2/3/11",Buy,125,1.05,3/20/13,0000921187,N-CSRS,08
"Merrill Lynch & Co., 5.00%,
  1/15/15",Buy,80,2.3,3/20/13,0000921187,N-CSRS,08
"Nordstrom, Inc., 6.95%, 3/15/28",Buy,50,1.07,3/20/18,0000921187,N-CSRS,08
"Nordstrom, Inc., 6.95%, 3/15/28",Buy,50,1.15,3/20/18,0000921187,N-CSRS,08
"Pepsi Bottling Group, Inc., 7.00%,
  3/1/29",Buy,40,0.58,3/20/13,0000921187,N-CSRS,08
"Pepsi Bottling Group, Inc., 7.00%,
  3/1/29",Buy,55,0.63,3/20/13,0000921187,N-CSRS,08
