Swap Counterparty and Reference Obligation,"Buy/Sell
  Protection","Notional
  Amount
  (000)","Pay/Receive
  Fixed Rate","Termination
  Date","Unrealized
  Appreciation
  (Depreciation)
  (000)",CIK,Reporting Type,Report Year
Bank of America,Buy,95,1.57,3/20/18,(1,0000921187,N-Q,08
Bank of America,Buy,60,0.7,3/20/13,(1,0000921187,N-Q,08
Bank of America,Buy,45,0.82,3/20/18,(1,0000921187,N-Q,08
Bank of America,Buy,60,1.03,3/18/20,,0000921187,N-Q,08
Bank of America,Buy,140,1.38,3/20/13,(@ ,0000921187,N-Q,08
Bank of America,Buy,30,1.08,3/20/18,,0000921187,N-Q,08
Bank of America,Buy,40,1.12,3/20/18,,0000921187,N-Q,08
Bank of America,Buy,75,0.8,3/20/18,,0000921187,N-Q,08
Bank of America,Buy,80,2.9,3/20/13,@ ,0000921187,N-Q,08
Bank of America,Buy,40,2.25,3/20/18,@ ,0000921187,N-Q,08
Citigroup,Buy,120,0.82,3/20/18,,0000921187,N-Q,08
Citigroup,Buy,75,0.62,3/20/13,,0000921187,N-Q,08
Citigroup,Buy,50,0.72,3/20/13,@ ,0000921187,N-Q,08
Credit Suisse,Buy,90,0.18,7/25/45,(4,0000921187,N-Q,08
Credit Suisse,Buy,125,1.11,3/20/13,(1,0000921187,N-Q,08
Credit Suisse,Buy,100,1.0,3/20/15,@ ,0000921187,N-Q,08
Credit Suisse,Buy,80,1.05,3/20/13,,0000921187,N-Q,08
Credit Suisse,Buy,150,1.4,3/20/13,,0000921187,N-Q,08
Credit Suisse,Buy,140,1.35,3/20/13,(@ ,0000921187,N-Q,08
Credit Suisse,Buy,45,8.1,3/20/13,(2,0000921187,N-Q,08
Deutsche Bank,Buy,85,5.0,6/20/13,(1,0000921187,N-Q,08
Deutsche Bank,Buy,40,1.34,3/20/13,@ ,0000921187,N-Q,08
Deutsche Bank,Buy,55,8.15,3/20/13,(4,0000921187,N-Q,08
Goldman Sachs,Buy,30,0.5,3/20/18,@ ,0000921187,N-Q,08
Goldman Sachs,Buy,15,0.6,3/20/18,@ ,0000921187,N-Q,08
