"
SWAP COUNTERPARTY &REFERENCE OBLIGATION","
BUY/SELLPROTECTION","
NOTIONALAMOUNT(000'S)","
INTERESTRATE","
TERMINATIONDATE","
UNREALIZEDAPPRECIATION(DEPRECIATION)",CIK,Reporting Type,Report Year
"
Golaman Sachs InternationalAmerican Standard Inc.","
Buy",50,0.5,"
March 20, 2013","
(13",0000924394,N-CSRS,08
"
UBS AGAmerican Standard Inc.","
Buy",140,0.5,"
March 20, 2013","
(37",0000924394,N-CSRS,08
"
UBS AGAmerican Standard Inc.","
Buy",150,0.6,"
March 20, 2018","
602",0000924394,N-CSRS,08
"
Credit Suisse InternationalArrow Electronics Inc.","
Buy",95,1.11,"
March 20, 2013","
(1,266",0000924394,N-CSRS,08
"
Lehman Brothers Special Financing Inc. Arrow Electronics, Inc.","
Buy",260,1.4,"
March 20, 2013","
(6,673",0000924394,N-CSRS,08
"
Goldman Sachs InternationalAvalonbay Communities Inc.","
Buy",195,3.05,"
March 20, 2013","
(11,298",0000924394,N-CSRS,08
"
Bank of America, N.A.Carnival Corp.","
Buy",115,1.57,"
March 20, 2018","
(327",0000924394,N-CSRS,08
"
Goldman Sachs InternationalCarnival Corp.","
Buy",105,1.6,"
March 20, 2018","
(803",0000924394,N-CSRS,08
"
Merrill Lynch InternationalCarnival Corp.","
Buy",95,1.57,"
March 20, 2018","
(270",0000924394,N-CSRS,08
"
Merrill Lynch InternationalCarnival Corp.","
Buy",100,1.6,"
March 20, 2018","
(765",0000924394,N-CSRS,08
"
Goldman Sachs InternationalChubb Corp.","
Buy",270,0.1,"
March 20, 2012","
4,595",0000924394,N-CSRS,08
"
Lehman Brothers Special Financing Inc. Coca-Cola Enterprises Inc.","
Buy",135,0.64,"
March 20, 2013","
(1,243",0000924394,N-CSRS,08
"
Goldman Sachs InternationalDell Inc.","
Buy",135,0.22,"
March 20, 2012","
1,489",0000924394,N-CSRS,08
"
Goldman Sachs InternationalDow Jones Index","
Sell",55,0.6,"
December 20, 2012","
1,438",0000924394,N-CSRS,08
"
Goldman Sachs InternationalDow Jones Index","
Sell",160,1.4,"
December 20, 2012","
1,126",0000924394,N-CSRS,08
"
Goldman Sachs InternationalDow Jones Index","
Sell",225,1.55,"
June 20, 2013","
(674",0000924394,N-CSRS,08
"
Goldman Sachs InternationalDow Jones Index","
Sell",200,0.8,"
December 20, 2017","
(84",0000924394,N-CSRS,08
