NotionalAmount,Expiration Date,Counterparty,Buy/SellProtection,Receive(Pay) FixedRate,Deliverable on Default,Net UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
"300,000",3/20/14,Barclays Bank PLC,Buy,(2.150)%,RadioShack Corp.,"(9,405",0000927972,N-CSR,09
"1,050,000",6/20/17,Barclays Bank PLC,Buy,(0.850)%,Sara Lee Corp.,"(28,405",0000927972,N-CSR,09
"900,000",3/20/14,Barclays Bank PLC,Buy,(2.150)%,RadioShack Corp.,"(28,215",0000927972,N-CSR,09
"1,250,000",12/20/09,Barclays Bank PLC,Buy,(0.550)%,"Cox Communications, Inc.",48,0000927972,N-CSR,09
"400,000",3/20/14,Barclays Bank PLC,Buy,(3.350)%,Southwest Airlines Co.,"(15,412",0000927972,N-CSR,09
"225,000",9/20/17,Credit Suisse Securities LLC,Buy,(1.050)%,Brunswick Corp.,"65,321",0000927972,N-CSR,09
"650,000",6/20/14,Goldman Sachs & Co.,Buy,(1.000)%,"Pitney Bowes, Inc.","(4,376",0000927972,N-CSR,09
"2,737,500",3/20/14,Barclays Bank PLC,Buy,(2.150)%,RadioShack Corp.,"(85,820",0000927972,N-CSR,09
"912,500",3/20/14,Barclays Bank PLC,Buy,(2.150)%,RadioShack Corp.,"(28,606",0000927972,N-CSR,09
"3,800,000",12/20/09,Barclays Bank PLC,Buy,(0.550)%,"Cox Communications, Inc.",145,0000927972,N-CSR,09
"3,300,000",6/20/17,Barclays Bank PLC,Buy,(0.850)%,Sara Lee Corp.,"(89,274",0000927972,N-CSR,09
"1,500,000",3/20/14,Barclays Bank PLC,Buy,(3.350)%,Southwest Airlines Co.,"(57,794",0000927972,N-CSR,09
"4,020,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580)%,"Marriot International, Inc.","352,595",0000927972,N-CSR,09
"825,000",9/20/17,Credit Suisse Securities LLC,Buy,(1.050)%,Brunswick Corp.,"239,510",0000927972,N-CSR,09
"2,200,000",6/20/14,Goldman Sachs & Co.,Buy,(1.000)%,"Pitney Bowes, Inc.","(14,812",0000927972,N-CSR,09
"200,000",9/20/17,Credit Suisse Securities LLC,Buy,(1.050)%,Brunswick Corp.,"58,063",0000927972,N-CSR,09
"1,125,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580)%,"Marriot International, Inc.","98,674",0000927972,N-CSR,09
"237,500",3/20/14,Barclays Bank PLC,Buy,(2.150)%,RadioShack Corp.,"(7,446",0000927972,N-CSR,09
"800,000",12/20/09,Barclays Bank PLC,Buy,(0.550)%,"Cox Communications, Inc.",31,0000927972,N-CSR,09
