NotionalAmount,Expiration Date,Counterparty,Buy/SellProtection,Receive(Pay) FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium Received (Paid),Value,CIK,Reporting Type,Report Year
"1,750,000",10/12/52,Bank of America N.A.,Buy,(0.100%),CMBX.NA.AAA.1,"14,481","84,218","98,699",0000927972,N-Q,10
"650,000",6/20/14,Barclays Bank PLC,Buy,(1.000%),Centex Corp.,"(2,535","12,038","9,503",0000927972,N-Q,10
"6,500,000",6/20/15,Barclays Bank PLC,Buy,(1.000%),CDX.NA.IG.14,"(74,696","87,598","12,902",0000927972,N-Q,10
"3,250,000",6/20/15,Barclays Bank PLC,Buy,(1.000%),CMBX.NA.AAA.1,"(39,585","46,036","6,451",0000927972,N-Q,10
"1,050,000",6/20/17,Barclays Bank PLC,Buy,(0.850%),Sara Lee Corp.,"(5,804",-,"(5,804",0000927972,N-Q,10
"520,687",7/25/45,Credit Suisse Securities LLC,Buy,(0.180%),ABX.HE.AAA.2006-1,"9,370","53,374","62,744",0000927972,N-Q,10
"5,100,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100%),CMBX.NA.AAA.1,"(205,485","493,124","287,639",0000927972,N-Q,10
"1,500,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100%),CMBX.NA.AAA.1,"(65,400","150,000","84,600",0000927972,N-Q,10
"1,650,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100%),CMBX.NA.AAA.1,"(6,628","99,688","93,060",0000927972,N-Q,10
"2,000,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100%),CMBX.NA.AAA.1,"17,800","95,000","112,800",0000927972,N-Q,10
"1,075,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100%),CMBX.NA.AAA.1,"(9,245","69,875","60,630",0000927972,N-Q,10
