SWAP COUNTERPARTY &REFERENCE OBLIGATION,BUY/SELLPROTECTION,NOTIONALAMOUNT(000 S),INTERESTRATE,TERMINATIONDATE,UNREALIZEDAPPRECIATION(DEPRECIATION),CIK,Reporting Type,Report Year
Hartford Financial Services Group Inc.,Buy,650000,0.12,"December 20, 2011","11,706",0000932843,N-CSR,08
"Motorola, Inc.",Buy,220000,0.15,"December 20, 2011","10,177",0000932843,N-CSR,08
"Motorola, Inc.",Buy,450000,0.157,"December 20, 2011","20,703",0000932843,N-CSR,08
Union Pacific Corp.,Buy,325000,0.2,"December 20, 2011","4,115",0000932843,N-CSR,08
Chubb Corp.,Buy,650000,0.1,"March 20, 2012","8,209",0000932843,N-CSR,08
Dell Inc.,Buy,330000,0.22,"March 20, 2012","3,626",0000932843,N-CSR,08
Covidien Ltd.,Buy,133000,0.43,"March 20, 2012",(366,0000932843,N-CSR,08
Covidien Ltd.,Buy,260000,0.43,"March 20, 2012",(713,0000932843,N-CSR,08
Tyco Electronics Ltd.,Buy,133000,0.43,"March 20, 2012","1,548",0000932843,N-CSR,08
Tyco Electronics Ltd.,Buy,260000,0.43,"March 20, 2012","3,019",0000932843,N-CSR,08
Tyco International Ltd.,Buy,133000,0.43,"March 20, 2012","1,548",0000932843,N-CSR,08
Tyco International Ltd.,Buy,260000,0.43,"March 20, 2012","3,019",0000932843,N-CSR,08
Yum Brands,Buy,255000,1.18,"March 20, 2013","(3,651",0000932843,N-CSR,08
Arrow Electronics,Buy,280000,1.0,"March 20, 2015",(731,0000932843,N-CSR,08
Sealed Air,Buy,75000,1.08,"March 20, 2018",       ,0000932843,N-CSR,08
Sealed Air,Buy,105000,1.08,"March 20, 2018",(221,0000932843,N-CSR,08
Sealed Air,Buy,155000,1.12,"March 20, 2018",       ,0000932843,N-CSR,08
