Counterparty,Reference Obligation,Purchase/Sell Protection2,Fixed Rate,Expiration Date,Notional Amount1,Appreciation/(Depreciation) ,CIK,Reporting Type,Report Year
Group PLC,"Lehman Brothers Holdings, Inc.",Sold,0.30%,09/20/2008,$               (300),$                              (3),0000933691,N-CSRS,08
"Merrill Lynch & Co., Inc.",Rederative Republic of Brazil,Sold,1.95%,04/20/2016,(100),4,0000933691,N-CSRS,08
"Lehman Brothers, Inc.",Republic of Indonesia,Sold,0.40%,12/20/2008,(500),(1),0000933691,N-CSRS,08
Group PLC,Republic of Indonesia,Sold,0.39%,12/20/2008,"(2,000)",(3),0000933691,N-CSRS,08
Group PLC,Republic of Indonesia,Sold,0.40%,12/20/2008,"(3,000)",(5),0000933691,N-CSRS,08
Morgan Stanley,Republic of Panama,Sold,0.75%,01/20/2012,(200),(2),0000933691,N-CSRS,08
JPMorgan Chase & Co.,Republic of Panama,Sold,1.25%,01/20/2017,(200),(5),0000933691,N-CSRS,08
JPMorgan Chase & Co.,Republic of Panama,Sold,1.20%,01/20/2017,(200),(6),0000933691,N-CSRS,08
Barclays Bank PLC,SLM Corporation,Sold,5.10%,06/20/2009,(300),1,0000933691,N-CSRS,08
BNP Paribas Bank,SLM Corporation,Sold,5.50%,03/20/2009,"(2,300)",(1),0000933691,N-CSRS,08
Citibank N.A.,SLM Corporation,Sold,4.85%,03/20/2013,"(1,700)",27,0000933691,N-CSRS,08
HSBC Bank USA,Ukraine,Sold,0.73%,04/20/2009,"(3,400)",(25),0000933691,N-CSRS,08
JPMorgan Chase & Co.,United Mexican States,Sold,0.92%,03/20/2016,(500),(10),0000933691,N-CSRS,08
