Counterparty,Reference   Obligation,Implied   Credit   Spread (4),Fixed   Received /   Pay Rate (7),Expiration   Date,"Notional   Amount (1), (6)",Value   (5),Unrealized   Appreciation /   (Depreciation),CIK,Reporting Type,Report Year
JPM,CDX.NA.HY.20,,5.0,06/20/2018,"2,367",(72,54,0000933691,N-CSR,13
JPM,CDX.NA.HY.20,,5.0,06/20/2018,"2,367",(72,54,0000933691,N-CSR,13
JPM,CDX.NA.HY.20,,5.0,06/20/2018,"5,207",(157,107,0000933691,N-CSR,13
JPM,CDX.NA.HY.20,,5.0,06/20/2018,"4,788",(145,55,0000933691,N-CSR,13
JPM,CDX.NA.HY.20,,5.0,06/20/2018,"4,993",(151,93,0000933691,N-CSR,13
JPM,CDX.NA.HY.20,,5.0,06/20/2018,"2,520",(76,27,0000933691,N-CSR,13
GSI,CDX.NA.IG.20,,1.0,06/20/2018,(750,(2,,0000933691,N-CSR,13
BOA,CDX.NA.IG-16,,1.0,06/20/2014,"4,225",(36,(13,0000933691,N-CSR,13
DUB,CDX.NA.IG-16,,1.0,06/20/2014,"18,900",(161,(49,0000933691,N-CSR,13
JPM,CDX.NA.IG-16,,1.0,06/20/2014,"26,100",(222,(59,0000933691,N-CSR,13
JPM,CDX.NA.IG-16,,1.0,06/20/2014,"24,700",(210,(58,0000933691,N-CSR,13
BOA,CDX.NA.IG-16,,1.0,06/20/2016,"(13,850",215,197,0000933691,N-CSR,13
DUB,CDX.NA.IG-16,,1.0,06/20/2016,"(9,800",152,127,0000933691,N-CSR,13
JPM,CDX.NA.IG-16,,1.0,06/20/2016,"(16,500",256,208,0000933691,N-CSR,13
BOA,CMBX.NA.AAA,,0.35,02/17/2051,"(1,000",(40,(15,0000933691,N-CSR,13
BOA,CMBX.NA.AAA,,0.35,02/17/2051,"(3,300",(132,(48,0000933691,N-CSR,13
BOA,CMBX.NA.AAA,,0.35,02/17/2051,"(4,500",(181,(40,0000933691,N-CSR,13
BOA,CMBX.NA.AAA,,0.35,02/17/2051,"(1,800",(72,(9,0000933691,N-CSR,13
BOA,CMBX.NA.AAA,,0.35,02/17/2051,"(7,700",(309,(29,0000933691,N-CSR,13
BOA,CMBX.NA.AAA,,0.35,02/17/2051,"(10,000",(401,(127,0000933691,N-CSR,13
CIT,CMBX.NA.AAA,,0.35,02/17/2051,"(1,500",(60,(24,0000933691,N-CSR,13
CIT,CMBX.NA.AAA,,0.35,02/17/2051,"(1,500",(60,(24,0000933691,N-CSR,13
DUB,CMBX.NA.AAA,,0.35,02/17/2051,"(4,400",(177,(28,0000933691,N-CSR,13
DUB,CMBX.NA.AAA,,0.35,02/17/2051,"(1,800",(72,(10,0000933691,N-CSR,13
DUB,CMBX.NA.AAA,,0.35,02/17/2051,"(4,000",(160,(33,0000933691,N-CSR,13
MSC,CMBX.NA.AAA,,0.35,02/17/2051,"(1,800",(72,(23,0000933691,N-CSR,13
BOA,CDX.NA.HY.18,,5.0,06/20/2017,(495,25,43,0000933691,N-CSR,13
BOA,CDX.NA.HY.18,,5.0,06/20/2017,(495,26,35,0000933691,N-CSR,13
MSC,CDX.NA.HY.18,,5.0,06/20/2017,"(1,223",63,95,0000933691,N-CSR,13
MSC,CDX.NA.HY.18,,5.0,06/20/2017,(327,17,31,0000933691,N-CSR,13
MSC,CDX.NA.HY.18,,5.0,06/20/2017,(346,18,39,0000933691,N-CSR,13
BOA,CDX.NA.HY.19,,5.0,12/20/2017,"(1,200",54,80,0000933691,N-CSR,13
DUB,"Federated Republic of   Brazil, 12.25%, 03/06/2030",2.08,1.0,06/20/2020,(500,(33,(16,0000933691,N-CSR,13
CIT,"GATX Corp., 5.80%,   03/01/2016",,1.07,03/20/2016,"1,000",(17,(17,0000933691,N-CSR,13
DUB,"Kinder Morgan Inc.,   6.50%, 09/01/2012",,1.0,03/20/2016,"2,000",(44,,0000933691,N-CSR,13
MSC,"Kinder Morgan Inc.,   6.50%, 09/01/2012",,1.0,03/20/2016,"3,000",(67,,0000933691,N-CSR,13
DUB,"Marsh &   McLennan Companies, 5.75%, 09/15/2015",,0.6,09/20/2015,"1,000",(9,(9,0000933691,N-CSR,13
JPM,"Pearson Plc, 5.70%,   06/01/2014",,0.83,06/20/2014,"1,000",(6,(7,0000933691,N-CSR,13
DUB,CDX.EM-12,,5.0,12/20/2014,"(1,500",22,(42,0000933691,N-CSR,13
BBP,CDX.EM-13,,5.0,06/20/2015,"(3,500",91,(47,0000933691,N-CSR,13
