Counterparty,Reference Obligation,Fixed   Received /   Pay Rate (7),Expiration   Date,"Notional   Amount (1), (6)",CIK,Reporting Type,Report Year
BOA,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,70,0000933691,N-CSR,15
BOA,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,80,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,70,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,460,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,760,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,730,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,320,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,470,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,140,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,390,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,330,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,330,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,330,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,920,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,460,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,400,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,630,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,280,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,70,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,200,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,330,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,320,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,700,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,190,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,420,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,870,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,430,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,210,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,180,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,410,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,400,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,330,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,3030,0000933691,N-CSR,15
JPM,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,460,0000933691,N-CSR,15
JPM,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,230,0000933691,N-CSR,15
JPM,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,30,0000933691,N-CSR,15
JPM,"People s Republic of China,   4.25%, 10/28/2014",1,06/20/2019,180,0000933691,N-CSR,15
BOA,CDX.NA.IG.16,1,06/20/2016,(425,0000933691,N-CSR,15
BBP,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,540,0000933691,N-CSR,15
BBP,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,170,0000933691,N-CSR,15
BBP,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,270,0000933691,N-CSR,15
CIT,"People s Republic of China,   4.25%, 10/28/2014",1,03/20/2019,130,0000933691,N-CSR,15
