Underlying Instrument,Counterparty,Amount ($),Rate (%),Date,CIK,Reporting Type,Report Year
Dow Jones CDX Indices; Series 7,Citibank N.A.,195000,0.4,12/20/11,0000944487,N-CSR,07
Brunswick Corp.,Merrill Lynch,"(20,000",0.67,12/20/11,0000944487,N-CSR,07
Campbell Soup Co.,Citibank N.A.,"(20,000",0.15,12/20/11,0000944487,N-CSR,07
H.J. Heinz Co.,Citibank N.A.,"(20,000",0.36,12/20/11,0000944487,N-CSR,07
"IStar Financial, Inc.",Citibank N.A.,"(20,000",0.45,12/20/11,0000944487,N-CSR,07
Lennar Corp.,Citibank N.A.,"(20,000",0.71,12/20/11,0000944487,N-CSR,07
"Nordstrom, Inc.",Citibank N.A.,"(20,000",0.24,12/20/11,0000944487,N-CSR,07
Nucor Corp.,Citibank N.A.,"(20,000",0.18,12/20/11,0000944487,N-CSR,07
"Quest Diagnostics, Inc.",Merrill Lynch,"(20,000",0.42,12/20/11,0000944487,N-CSR,07
Sprint Nextel Corp.,Citibank N.A.,"(20,000",0.6,12/20/11,0000944487,N-CSR,07
Weyerhaueser Co.,Citibank N.A.,"(20,000",0.59,12/20/11,0000944487,N-CSR,07
