Counterparty,Reference Instrument,Notional Amount(B),Pay/Receive(A),Fixed Rate,ExpirationDate,Paid (Received),Appreciation/(Depreciation),Credit Event,Rating(C),CIK,Reporting Type,Report Year
Goldman Sachs,"Boston Properties L.P.
6.25%, 1/15/13",11000000,Pay,1.0,9/20/2014,848323,"(669,625",Bankruptcy/FTP,A-,0001016073,N-CSRS,10
Goldman Sachs,"Brunswick Corp.
7.13%, 8/1/27",10000000,Pay,5.0,12/20/2014,40542,145473,Bankruptcy/FTP,CCC,0001016073,N-CSRS,10
Goldman Sachs,"Brunswick Corp.
7.13%, 8/1/27",10000000,Pay,5.0,12/20/2014,"(143,212",329228,Bankruptcy/FTP,CCC,0001016073,N-CSRS,10
Goldman Sachs,"Centex Corp.
5.25%, 6/15/15",5000000,Pay,4.21,3/20/2013,0,"(390,889",Restructuring/Bankruptcy/FTP,BB,0001016073,N-CSRS,10
Goldman Sachs,"Continental Airlines, Inc.
5.00%, 6/15/23",1000000,Receive,5.0,6/20/2013,"(400,000",290194,Bankruptcy/FTP,CCC+,0001016073,N-CSRS,10
Goldman Sachs,"Continental Airlines, Inc.
5.00%, 6/15/23",500000,Receive,4.93,6/20/2012,0,"(28,075",Bankruptcy/FTP,CCC+,0001016073,N-CSRS,10
Goldman Sachs,"Continental Airlines, Inc.
5.00%, 6/15/23",1000000,Receive,5.0,6/20/2013,"(290,000",180194,Bankruptcy/FTP,CCC+,0001016073,N-CSRS,10
Goldman Sachs,"CVS Caremark Corp.
4.78%, 9/15/14",10000000,Pay,1.0,9/20/2014,"(286,840",101139,Bankruptcy/FTP,BBB+,0001016073,N-CSRS,10
Goldman Sachs,"Dow Jones CDX NA
High Yield Series II Index",7830000,Pay,5.0,12/20/2013,2158144,"(2,118,770",Bankruptcy/FTP,CCC,0001016073,N-CSRS,10
Goldman Sachs,"Dow Jones CDX NA
Investment Grade Series 8 Index",2420000,Receive,0.35,6/20/2012,"(34,974","(1,726",Bankruptcy/FTP,BBB,0001016073,N-CSRS,10
Goldman Sachs,"Enbridge Energy, L.P.
4.75%, 6/1/13",10000000,Pay,1.0,6/20/2015,56732,200063,Bankruptcy/FTP,BBB,0001016073,N-CSRS,10
Goldman Sachs,"H.J. Heinz Co.
6.38%, 7/15/28",10000000,Pay,1.0,9/20/2014,"(320,193",156873,Bankruptcy/FTP,BBB,0001016073,N-CSRS,10
Goldman Sachs,"iStar Financial, Inc.
6.00%, 12/15/10",4000000,Pay,5.5,3/20/2013,0,722427,Restructuring/Bankruptcy/FTP,CCC+,0001016073,N-CSRS,10
Goldman Sachs,"iStar Financial, Inc.
6.00%, 12/15/10",4000000,Pay,5.05,6/20/2013,0,773375,Restructuring/Bankruptcy/FTP,CCC+,0001016073,N-CSRS,10
Goldman Sachs,"iStar Financial, Inc.
5.95%, 10/15/13",5000000,Pay,5.0,6/20/2013,700000,271104,Restructuring/Bankruptcy/FTP,CCC+,0001016073,N-CSRS,10
Goldman Sachs,"iStar Financial, Inc.
5.95%, 10/15/13",5000000,Pay,5.0,6/20/2013,725000,246104,Restructuring/Bankruptcy/FTP,CCC+,0001016073,N-CSRS,10
Goldman Sachs,"Limited Brands, Inc.
6.13%, 12/1/12",4150000,Pay,3.38,6/20/2013,0,"(223,499",Restructuring/Bankruptcy/FTP,BB,0001016073,N-CSRS,10
Goldman Sachs,"Limited Brands, Inc.
6.13%, 12/1/12",4700000,Pay,2.55,6/20/2013,0,"(140,314",Restructuring/Bankruptcy/FTP,BB,0001016073,N-CSRS,10
Goldman Sachs,"Liz Claiborne, Inc.
5.00%, 7/8/13",15000000,Pay,5.0,9/20/2014,1875000,"(46,805",Bankruptcy/FTP,CCC+,0001016073,N-CSRS,10
Goldman Sachs,"Liz Claiborne, Inc.
5.00%, 7/8/13",15000000,Pay,5.0,12/20/2014,1087500,799532,Bankruptcy/FTP,CCC+,0001016073,N-CSRS,10
Goldman Sachs,"Newell Rubbermaid, Inc.
5.50%, 4/15/13",30000000,Pay,1.0,6/20/2014,620488,"(560,814",Bankruptcy/FTP,BBB-,0001016073,N-CSRS,10
