"
Description
","
Maturity Date
","
Counterparty
","
Fixed Deal (Pay) Rate
","
Implied Credit Spread at March 31, 2013
","
Notional 
Amount
","
Fair Value
","
Upfront Premiums Paid (Received)
","
Unrealized Appreciation / (Depreciation)
",CIK,Reporting Type,Report Year
"
ACE INA Holdings
","
6/20/2018
","
BOA
","
(1.000%)
","
0.350%
","
(1,100,000)
","
(35,202)
","
(36,673)
","
1,471
",0001020425,N-Q,13
"
Anadarko Petroleum Corp.
","
6/20/2018
","
Citigroup Global Markets
","
1.000%
","
1.080%
","
1,100,000
","
(6,409)
","
(4,373)
","
(2,035)
",0001020425,N-Q,13
"
Aramark Corp.
","
3/20/2018
","
Deutsche Bank Securities, Inc.
","
(5.000%)
","
2.800%
","
(300,000)
","
(32,181)
","
(29,659)
","
(2,522)
",0001020425,N-Q,13
"
Aramark Corp.
","
3/20/2018
","
Deutsche Bank Securities, Inc.
","
(5.000%)
","
2.770%
","
(300,000)
","
(32,181)
","
(30,101)
","
(2,080)
",0001020425,N-Q,13
"
Aramark Corp.
","
3/20/2018
","
Deutsche Bank Securities, Inc.
","
(5.000%)
","
2.720%
","
(500,000)
","
(53,636)
","
(51,398)
","
(2,238)
",0001020425,N-Q,13
"
Bank of Scoland Plc
","
6/20/2017
","
BOA
","
 (1.000%)
","
1.850%
","
(600,000)
","
(12,142)
","
30,443
","
(42,585)
",0001020425,N-Q,13
"
Boston Scientific Corp.
","
9/20/2017
","
Deutsche Bank Securities, Inc.
","
 (1.000%)
","
1.320%
","
(750,000)
","
(2,174)
","
11,732
","
(13,906)
",0001020425,N-Q,13
"
Boston Scientific Corp.
","
6/20/2017
","
BOA
","
 (1.000%)
","
1.170%
","
(600,000)
","
(4,032)
","
5,070
","
(9,102)
",0001020425,N-Q,13
"
Boyd Gaming Corp.
","
3/20/2018
","
Credit Suisse Securities LLC
","
5.000%
","
8.380%
","
425,000
","
(35,896)
","
(56,313)
","
20,416
",0001020425,N-Q,13
"
Boyd Gaming Corp.
","
3/20/2018
","
Credit Suisse Securities LLC
","
5.000%
","
8.410%
","
500,000
","
(42,231)
","
(66,875)
","
24,644
",0001020425,N-Q,13
"
CDX 19 HY 500 12/20/17
","
12/20/2017
","
Citigroup Global Markets
","
(5.000%)
","
3.960%
","
(500,000)
","
(20,481)
","
(21,563)
","
1,082
",0001020425,N-Q,13
"
CDX 19 HY 500 12/20/17
","
12/20/2017
","
Credit Suisse Securities LLC
","
(5.000%)
","
3.990%
","
(325,000)
","
(13,313)
","
(13,609)
","
297
",0001020425,N-Q,13
"
CDX 19 HY 500 12/20/17
","
12/20/2017
","
Credit Suisse Securities LLC
","
(5.000%)
","
4.000%
","
(100,000)
","
(4,096)
","
(4,156)
","
60
",0001020425,N-Q,13
"
CDX 19 HY 500 12/20/17
","
12/20/2017
","
Credit Suisse Securities LLC
","
(5.000%)
","
3.980%
","
(100,000)
","
(4,096)
","
(4,250)
","
154
",0001020425,N-Q,13
"
CDX 19 HY 500 12/20/17
","
12/20/2017
","
Credit Suisse Securities LLC
","
(5.000%)
","
3.960%
","
(1,000,000)
","
(40,962)
","
(43,125)
","
2,163
",0001020425,N-Q,13
