Counterparty,Reference Entity/Obligation,Protection,Fixed Rate,Date,Amount,(Depreciation),CIK,Reporting Type,Report Year
Deutsche Bank AG,"INCO LTD 7.750%, 05/15/12",Buy,(0.630),03/20/17,200000,"(1,249)",0001039001,N-Q,07
Deutsche Bank AG,"INCO LTD 7.750%, 05/15/12",Buy,(0.420),03/20/17,180000,928,0001039001,N-Q,07
"JPMorgan Chase Bank, N.A., NY","INCO LTD 7.750%, 05/15/12",Buy,(0.520),03/20/17,95000,145,0001039001,N-Q,07
"Morgan Stanley Capital Services, Inc.","INCO LTD 7.750%, 05/15/12",Buy,(0.520),03/20/17,195000,560,0001039001,N-Q,07
"Morgan Stanley Capital Services, Inc.","INCO LTD 7.750%, 05/15/12",Buy,(0.520),03/20/17,180000,517,0001039001,N-Q,07
"Morgan Stanley Capital Services, Inc.","INCO LTD 7.750%, 05/15/12",Buy,(0.600),3/20/17,195000,(703),0001039001,N-Q,07
Goldman Sachs International,"K. Hovnanian Enterprises, Inc. 6.500%, 01/15/14",Sell,2,06/20/08,615000,"(1,729)",0001039001,N-Q,07
Goldman Sachs International,"K. Hovnanian Enterprises, Inc. 6.500%, 01/15/14",Sell,2,06/20/08,385000,"(1,082)",0001039001,N-Q,07
Goldman Sachs International,"K. Hovnanian Enterprises, Inc. 6.500%, 01/15/14",Sell,1.8,06/20/08,385000,"(1,082)",0001039001,N-Q,07
Credit Suisse International,"NJSC Naftogaz of Ukraine 8.125%, 09/30/09",Sell,3.25,04/20/11,605000,,0001039001,N-Q,07
"Morgan Stanley Capital Services, Inc.","Republic of Colombia 10.375%, 01/28/33",Buy,(3.700),08/20/15,360000,"(55,913)",0001039001,N-Q,07
"Citibank N.A., New York","Republic of Hungary 4.500%, 01/29/14",Buy,(0.400),12/20/15,745000,"(3,768)",0001039001,N-Q,07
UBS AG,"Republic of Indonesia 6.750%, 03/10/14",Sell,2.3,09/20/11,275000,13712,0001039001,N-Q,07
Deutsche Bank AG,"Republic of Peru 8.750%, 11/21/33",Buy,(1.710),12/20/16,420000,"(16,516)",0001039001,N-Q,07
Deutsche Bank AG,"Republic of Peru 8.750%, 11/21/33",Sell,1.32,04/20/17,225000,1039,0001039001,N-Q,07
Deutsche Bank AG,Republic of the Philippines 10.625% 03/16/25,Buy,(3.690),09/20/15,1500000,"(186,258)",0001039001,N-Q,07
"Morgan Stanley Capital Services, Inc.","Republic of Turkey 11.875%, 01/15/30",Sell,2.75,11/20/16,255000,5518,0001039001,N-Q,07
