Counterparty,Reference Entity/Obligation,"Buy/Sell
  Protection","(Pay)/Receive
  Fixed Rate","Termination
  Date","Notional
  Amount","Unrealized
  Appreciation/
  (Depreciation)",CIK,Reporting Type,Report Year
Barclays Bank PLC,ABX.HE.AA.06-2 Index,Sell,0.170,05/25/46,"260,000",966,0001039001,N-Q,08
Deutsche Bank AG,ABX.HE.AA.06-2 Index,Sell,0.170,05/25/46,"110,000","(71,740)",0001039001,N-Q,08
"Goldman Sachs Capital
  Markets L.P.",ABX.HE.AA.06-2 Index,Sell,0.110,05/25/46,"150,000","(57,400)",0001039001,N-Q,08
"Goldman Sachs Capital
  Markets L.P.",ABX.HE.AA.06-2 Index,Sell,0.170,05/25/46,"35,000","(24,118)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",ABX.HE.AA.06-2 Index,Sell,0.170,05/25/46,"35,000","(24,202)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",ABX.HE.AA.06-2 Index,Sell,0.170,05/25/46,"70,000","(47,025)",0001039001,N-Q,08
Deutsche Bank AG,ABX.HE.AAA.06-2 Index,Sell,0.110,05/25/46,"260,000","(68,403)",0001039001,N-Q,08
Deutsche Bank AG,ABX.HE.AAA.06-2 Index,Sell,0.110,05/25/46,"260,000","(68,405)",0001039001,N-Q,08
"Goldman Sachs Capital
  Markets L.P.",ABX.HE.AAA.06-2 Index,Sell,0.110,05/25/46,"110,000","(22,405)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",ABX.HE.AAA.06-2 Index,Sell,0.110,05/25/46,"380,000","(2,508)",0001039001,N-Q,08
"Citibank N.A., New York","Ambac Assurance Corp.
  (no specified obligation)",Sell,8.400,12/20/08,"1,035,000","(62,268)",0001039001,N-Q,08
"Credit Suisse
  International","Aramark Corp. 5.000%,
  06/01/12",Sell,6.000,03/20/13,"100,000","4,996",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.","Aramark Corp. 5.000%,
  06/01/12",Sell,5.920,03/20/13,"110,000","5,177",0001039001,N-Q,08
"Credit Suisse
  International","Aramark Corp. 8.500%,
  02/01/15",Sell,4.750,12/20/13,"110,000",(848),0001039001,N-Q,08
"Citibank N.A., New York","Cablevision Systems
  Corp. 8.000%, 04/15/12",Sell,3.100,12/20/10,"15,000",(474),0001039001,N-Q,08
"Citibank N.A., New York","Capmark Financial Group
  5.875%, 05/10/12",Sell,7.125,12/20/12,"355,000","(116,212)",0001039001,N-Q,08
"Citibank N.A., New York","Capmark Financial Group
  5.875%, 05/10/12",Sell,9.750,12/20/12,"215,000","(59,730)",0001039001,N-Q,08
"Citibank N.A., New York","Capmark Financial Group
  5.875%, 05/10/12",Sell,9.700,12/20/12,"255,000","(71,084)",0001039001,N-Q,08
Credit Suisse International,"Capmark Financial Group
  5.875%, 05/10/12",Sell,5.200,12/20/12,"110,000","(40,006)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.","Capmark Financial Group
  5.875%, 05/10/12",Sell,7.400,12/20/12,"60,000","(19,330)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.","Capmark Financial Group
  5.875%, 05/10/12",Sell,7.150,12/20/12,"60,000","(19,613)",0001039001,N-Q,08
"Credit Suisse
  International","Capmark Financial Group
  6.300%, 05/10/17",Sell,6.250,12/20/12,"60,000","(20,632)",0001039001,N-Q,08
"Credit Suisse
  International",CDX.NA.HY.7 Index,Sell,3.250,12/20/11,"271,260","(28,881)",0001039001,N-Q,08
Deutsche Bank AG,CDX.NA.HY.7 Index,Sell,3.250,12/20/11,"752,400","(80,106)",0001039001,N-Q,08
"Credit Suisse
  International",CDX.NA.HY.8 Index,Sell,2.750,06/20/12,"430,650","(32,562)",0001039001,N-Q,08
"JPMorgan Chase Bank
  N.A., New York",CDX.NA.HY.8 Index,Sell,2.750,06/20/12,"514,800","(38,924)",0001039001,N-Q,08
Deutsche Bank AG,CDX.NA.HY.9 Index,Sell,3.750,12/20/12,"1,084,050","(133,845)",0001039001,N-Q,08
"JPMorgan Chase Bank
  N.A., New York",CDX.NA.HY.9 Index,Sell,3.750,12/20/12,"900,900","(108,933)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CDX.NA.HY.9 Index,Sell,3.750,12/20/12,"831,600","(97,557)",0001039001,N-Q,08
"Credit Suisse
  International",CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"1,820,000","(87,942)",0001039001,N-Q,08
Deutsche Bank AG,CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"1,585,000","(56,851)",0001039001,N-Q,08
Deutsche Bank AG,CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"875,000","(8,553)",0001039001,N-Q,08
Deutsche Bank AG,CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"1,315,000","(8,037)",0001039001,N-Q,08
Deutsche Bank AG,CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"2,650,000","(182,874)",0001039001,N-Q,08
Deutsche Bank AG,CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"2,085,000","(91,166)",0001039001,N-Q,08
"Goldman Sachs
  International",CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"2,650,000","(190,352)",0001039001,N-Q,08
"JPMorgan Chase Bank
  N.A., New York",CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"2,650,000","(179,760)",0001039001,N-Q,08
"JPMorgan Chase Bank
  N.A., New York",CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"660,000","(4,034)",0001039001,N-Q,08
"JPMorgan Chase Bank,
  N.A. New York",CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"540,000","(5,278)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"2,640,000","(176,185)",0001039001,N-Q,08
UBS AG,CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"2,650,000","(181,530)",0001039001,N-Q,08
UBS AG,CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"440,000","(2,689)",0001039001,N-Q,08
UBS AG,CDX.NA.HY.10 Index,Sell,5.000,06/20/13,"540,000","(5,278)",0001039001,N-Q,08
Barclays Bank PLC,CDX.NA.IG.10 Index,Sell,1.550,06/20/13,"2,585,000","(64,520)",0001039001,N-Q,08
Barclays Bank PLC,CDX.NA.IG.10 Index,Sell,1.550,06/20/13,"775,000","(8,852)",0001039001,N-Q,08
Barclays Bank PLC,CDX.NA.IG.10 Index,Sell,1.550,06/20/13,"1,035,000","(27,970)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CDX.NA.IG.10 Index,Sell,1.550,06/20/13,"775,000","(15,183)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CDX.NA.IG.10 Index,Sell,1.550,06/20/13,"1,550,000","(36,079)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CDX.NA.IG.10 Index,Sell,1.550,06/20/13,"2,585,000","(66,291)",0001039001,N-Q,08
"Credit Suisse
  International","Charter Communications
  Holdings 10.000%, 04/01/09",Buy,(5.000),09/20/10,"40,000","6,754",0001039001,N-Q,08
"Credit Suisse
  International","Charter Communications
  Holdings 10.000%, 04/01/09",Buy,(7.000),09/20/10,"35,000","6,365",0001039001,N-Q,08
"Credit Suisse
  International","Charter Communications
  Holdings 10.000%, 04/01/09",Sell,5.000,09/20/17,"40,000","(14,958)",0001039001,N-Q,08
"Credit Suisse
  International","Charter Communications
  Holdings 10.000%, 04/01/09",Sell,5.000,09/20/17,"35,000","(13,089)",0001039001,N-Q,08
"Goldman Sachs Capital
  Markets L.P.",CMBX-NA-AJ 3 Index,Sell,1.470,12/13/49,"200,000","(16,392)",0001039001,N-Q,08
"JPMorgan Chase Bank
  N.A., New York",CMBX-NA-AJ 3 Index,Sell,1.470,12/13/49,"900,000","13,516",0001039001,N-Q,08
"JPMorgan Chase Bank
  N.A., New York",CMBX-NA-AJ 3 Index,Sell,1.470,12/13/49,"100,000","(8,497)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CMBX-NA-AJ 3 Index,Sell,1.470,12/13/49,"300,000","(21,501)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CMBX-NA-AJ 3 Index,Sell,1.470,12/13/49,"540,000","(20,024)",0001039001,N-Q,08
"Goldman Sachs Capital
  Markets L.P.",CMBX-NA-AJ 4 Index,Sell,0.960,02/17/51,"200,000","(14,920)",0001039001,N-Q,08
"JPMorgan Chase Bank
  N.A., New York",CMBX-NA-AJ 4 Index,Sell,0.960,02/17/51,"100,000","(7,769)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CMBX-NA-AJ 4 Index,Sell,0.960,02/17/51,"540,000","(21,495)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CMBX-NA-AJ 4 Index,Sell,0.960,02/17/51,"300,000","(22,383)",0001039001,N-Q,08
Barclays Bank PLC,CMBX-NA-AJ 5 Index,Sell,0.980,02/15/51,"230,000","(3,416)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CMBX-NA-AJ 5 Index,Sell,0.980,02/15/51,"210,000","(7,184)",0001039001,N-Q,08
"Morgan Stanley Capital
  Services Inc.",CMBX-NA-AJ 5 Index,Sell,0.980,02/15/51,"230,000","(3,998)",0001039001,N-Q,08
"JPMorgan Chase Bank,
  N.A. New York","Constellation Brands
  Inc. 7.250%,  09/01/16",Sell,3.970,09/20/13,"85,000","1,446",0001039001,N-Q,08
Deutsche Bank AG,"Countrywide Home Loan
  4.000%, 03/22/11",Sell,9.000,12/20/08,"425,000","4,402",0001039001,N-Q,08
