Counterparty,"Reference
  Entity/Obligation",Protection,Rate (%),Date,Amount (4),Value (5),(Received),(Depreciation),CIK,Reporting Type,Report Year
Barclays Bank PLC,CDX.NA.HY.13 Index,Sell,5,12/20/14,1524600,240,"(129,980)",130220,0001039001,N-Q,10
Barclays Bank PLC,CDX.NA.HY.13 Index,Sell,5,12/20/14,1782000,281,"(1,237)",1518,0001039001,N-Q,10
Barclays Bank PLC,CDX.NA.HY.13 Index,Sell,5,12/20/14,1782000,281,10395,"(10,114)",0001039001,N-Q,10
"Citibank N.A., New York",CDX.NA.HY.13 Index,Sell,5,12/20/14,1485000,234,19276,"(19,042)",0001039001,N-Q,10
"Citibank N.A., New York",CDX.NA.HY.13 Index,Sell,5,12/20/14,1485000,234,"(5,238)",5472,0001039001,N-Q,10
"Citibank N.A., New York",CDX.NA.HY.13 Index,Sell,5,12/20/14,693000,109,5051,"(4,942)",0001039001,N-Q,10
Goldman Sachs International,CDX.NA.HY.13 Index,Sell,5,12/20/14,1524600,240,"(129,115)",129355,0001039001,N-Q,10
Goldman Sachs International,CDX.NA.HY.13 Index,Sell,5,12/20/14,915750,144,"(71,321)",71465,0001039001,N-Q,10
"JPMorgan Chase Bank, N.A. - London",CDX.NA.HY.13 Index,Sell,5,12/20/14,1782000,281,17912,"(17,631)",0001039001,N-Q,10
"JPMorgan Chase Bank, N.A. - New York",CDX.NA.HY.13 Index,Sell,5,12/20/14,990000,156,"(48,645)",48801,0001039001,N-Q,10
Morgan Stanley Capital Services Inc.,CDX.NA.HY.13 Index,Sell,5,12/20/14,1485000,234,6342,"(6,108)",0001039001,N-Q,10
Morgan Stanley Capital Services Inc.,CDX.NA.HY.13 Index,Sell,5,12/20/14,1782000,281,865,(584),0001039001,N-Q,10
UBS AG,CDX.NA.HY.13 Index,Sell,5,12/20/14,1485000,234,12113,"(11,879)",0001039001,N-Q,10
