Counterparty,Reference Entity/Obligation,Protection,Fixed Rate (%),Date,Amount (3),Value (4),(Received),(Depreciation),CIK,Reporting Type,Report Year
"Citigroup, Inc.",CDX.NA.HY.8 Index (35-100% Tranche),Sell,0.401,06/20/12,962940,4313,4313,,0001039001,N-Q,11
Deutsche Bank AG,CDX.NA.IG.9 Index (30-100% Tranche),Sell,0.708,12/20/12,2893497,32695,32695,,0001039001,N-Q,11
Goldman Sachs & Co.,CDX.NA.IG.9 Index (30-100% Tranche),Sell,0.5479999999999999,12/20/17,675149,7197,7197,,0001039001,N-Q,11
Deutsche Bank AG,CDX.NA.IG.10 Index (30-100% Tranche),Sell,0.53,06/20/13,964499,9730,9730,,0001039001,N-Q,11
Barclays Bank PLC,CDX.EM.13 Index,Sell,5.0,06/20/15,8700000,1037994,951690,86304.0,0001039001,N-Q,11
Deutsche Bank AG,CDX.EM.13 Index,Sell,5.0,06/20/15,900000,107378,96384,10994.0,0001039001,N-Q,11
Goldman Sachs & Co.,CDX.EM.13 Index,Sell,5.0,06/20/15,200000,23862,20402,3460.0,0001039001,N-Q,11
HSBC Bank USA,CDX.EM.13 Index,Sell,5.0,06/20/15,5600000,668134,568052,100082.0,0001039001,N-Q,11
Morgan Stanley,CDX.EM.13 Index,Sell,5.0,06/20/15,3000000,357929,298319,59610.0,0001039001,N-Q,11
Barclays Bank PLC,CDX.EM.14 Index,Sell,5.0,12/20/15,6100000,793326,775513,17813.0,0001039001,N-Q,11
Deutsche Bank AG,CDX.EM.14 Index,Sell,5.0,12/20/15,800000,104043,87942,16101.0,0001039001,N-Q,11
HSBC Bank USA,CDX.EM.14 Index,Sell,5.0,12/20/15,700000,91037,82497,8540.0,0001039001,N-Q,11
Morgan Stanley,CDX.EM.14 Index,Sell,5.0,12/20/15,1400000,182074,164362,17712.0,0001039001,N-Q,11
"Citigroup, Inc.",CDX.EM.14 Index,Sell,5.0,12/20/15,4900000,637262,597962,39300.0,0001039001,N-Q,11
UBS Warburg LLC,CDX.EM.14 Index,Sell,5.0,12/20/15,300000,39016,37681,1335.0,0001039001,N-Q,11
Deutsche Bank AG,CDX.EM.15 Index,Sell,5.0,06/20/16,200000,27757,26959,798.0,0001039001,N-Q,11
Morgan Stanley,CDX.NA.HY.15 Index,Sell,5.0,12/20/15,7000000,232096,94031,138065.0,0001039001,N-Q,11
Deutsche Bank AG,CDX.NA.IG.15 Index,Sell,1.0,12/20/15,5400000,38881,21665,17216.0,0001039001,N-Q,11
