Counterparty,Reference   Entity/Obligation,Buy/Sell   Protection,(Pay)/   Receive   Fixed   Rate (%),Termination   Date,Notional Amount(2),Fair   Value(3),Upfront   Payments   Paid/   (Received),Unrealized   Appreciation/   (Depreciation),CIK,Reporting Type,Report Year
Barclays   Bank PLC,CDX.EM.13 Index,Sell,5.0,06/20/15,"5,000,000","216,920","287,210","(70,290)",0001039001,N-Q,13
Deutsche   Bank AG,CDX.EM.13 Index,Sell,5.0,06/20/15,"900,000","39,046","50,663","(11,617)",0001039001,N-Q,13
Goldman   Sachs & Co.,CDX.EM.13 Index,Sell,5.0,06/20/15,"200,000","8,677","10,724","(2,047)",0001039001,N-Q,13
HSBC,CDX.EM.13 Index,Sell,5.0,06/20/15,"5,600,000","242,950","298,586","(55,636)",0001039001,N-Q,13
Morgan   Stanley,CDX.EM.13 Index,Sell,5.0,06/20/15,"3,000,000","130,152","156,806","(26,654)",0001039001,N-Q,13
Deutsche   Bank AG,CDX.NA.IG.10 Index   (30-100% Tranche),Sell,0.53,06/20/13,"964,499","1,182","1,182",,0001039001,N-Q,13
Goldman   Sachs & Co.,CDX.NA.IG.9 Index   (30-100% Tranche),Sell,0.5479999999999999,12/20/17,"675,149","11,585","11,585",,0001039001,N-Q,13
Deutsche   Bank AG,CMBX.NA.AAA.3 Index,Sell,0.08,12/13/49,"900,000","(28,350","(51,517)","23,167",0001039001,N-Q,13
Goldman   Sachs & Co.,CMBX.NA.AAA.3 Index,Sell,0.08,12/13/49,"100,000","(3,150)","(3,735)",585,0001039001,N-Q,13
"Citigroup, Inc.",CMBX.NA.AAA.4,Sell,0.35,02/17/51,"600,000","(17,616)","(21,384)","3,768",0001039001,N-Q,13
"Citigroup, Inc.",MCDX.NA.18 Index,Sell,1.0,06/20/22,"1,600,000","(55,859)","(114,129)","58,270",0001039001,N-Q,13
Morgan   Stanley,MCDX.NA.18 Index,Sell,1.0,06/20/17,"1,700,000","(3,296)","(47,153)","43,857",0001039001,N-Q,13
