Counterparty,Reference Entity,Buy/Sell,Pay/ReceiveFixed rate,ExpirationDate,NotionalAmount,UnrealizedAppreciation/(Depreciation),CIK,Reporting Type,Report Year
Barclays Bank PLC,United Mexican States 7.500% due 04/08/2033,Sell,0.65,05/20/2005,33,0,0001047304,N-Q,04
Goldman Sachs & Co.,United Mexican States 11.500% due 05/15/2026,Sell,1.31,01/29/2005,300,,0001047304,N-Q,04
Goldman Sachs & Co.,"Russian Federation, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,1.06,03/06/2005,300,,0001047304,N-Q,04
J.P. Morgan Chase & Co.,United Mexican States 9.750% due 04/06/2005,Sell,2.84,01/04/2013,"1,600",148,0001047304,N-Q,04
"Lehman Brothers, Inc.","Russian Federation, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,2.55,03/20/2014,350,(6,0001047304,N-Q,04
"Merrill Lynch & Co., Inc.",United Mexican States 9.750% due 04/06/2005,Sell,1.25,01/22/2005,100,0,0001047304,N-Q,04
"Merrill Lynch & Co., Inc.",Republic of Kazakhstan 11.125% due 05/11/2007,Sell,0.7,03/11/2005,100,0,0001047304,N-Q,04
"Merrill Lynch & Co., Inc.","Russian Federation, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,1.28,05/01/2005,"1,000",,0001047304,N-Q,04
"Merrill Lynch & Co., Inc.","Russian Federation, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,1.35,07/10/2005,250,,0001047304,N-Q,04
"Merrill Lynch & Co., Inc.","Russian Federation, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,3.16,10/02/2013,450,12,0001047304,N-Q,04
"Merrill Lynch & Co., Inc.","Russian Federation, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,2.31,01/21/2014,525,(17,0001047304,N-Q,04
Morgan Stanley Dean Witter & Co.,"Russian Federation, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,0.95,12/09/2004,"1,000",,0001047304,N-Q,04
Morgan Stanley Dean Witter & Co.,United Mexican States 11.500% due 05/15/2026,Sell,0.625,05/20/2005,100,0,0001047304,N-Q,04
Morgan Stanley Dean Witter & Co.,Dow Jones CDX EM2 Index,Sell,2.6,12/20/2009,"1,950",(6,0001047304,N-Q,04
