Counterparty,Reference Entity,Buy/SellProtection,Pay/ReceiveFixed rate,ExpirationDate,NotionalAmount,UnrealizedAppreciation/(Depreciation,  ),CIK,Reporting Type,Report Year
"Bear Stearns & Co., Inc.","MCI, Inc. 6.688% due05/01/2009",Sell,1.75,09/20/2005,"2,000",10,,0001047304,N-Q,04
"Bear Stearns & Co., Inc.",AT&T Corp. 8.050% due11/15/2011,Sell,1.52,12/20/2007,"1,000",(3,,0001047304,N-Q,04
"Bear Stearns & Co., Inc.",CenterPoint EnergyResources Corp. 3.750% due05/15/2023,Sell,1.14,09/20/2009,"1,000",(1,,0001047304,N-Q,04
Credit Suisse First Boston,"MCI, Inc. 7.735% due05/01/2014",Sell,1.15,12/20/2005,"1,000",0,,0001047304,N-Q,04
Credit Suisse First Boston,"Nextel Communications, Inc.7.375% due 08/01/2015",Sell,1.32,12/20/2007,"1,000",,,0001047304,N-Q,04
Goldman Sachs & Co.,"Russian Federation, 5.000%until 03/31/2007 and 7.500%thereafter, due 03/31/2030",Sell,0.71,10/21/2004,"4,000",0,,0001047304,N-Q,04
Goldman Sachs & Co.,"AOL Time Warner, Inc.6.875% due 05/01/2012",Sell,2.6,12/20/2004,"1,286",(1,,0001047304,N-Q,04
Goldman Sachs & Co.,"Bombardier, Inc. 6.750%due 05/01/2012",Sell,2.6,12/20/2004,"1,286",(1,,0001047304,N-Q,04
Goldman Sachs & Co.,"Clear ChannelCommunications, Inc.7.650% 09/15/2010",Sell,2.6,12/20/2004,"1,286",(1,,0001047304,N-Q,04
Goldman Sachs & Co.,"Comcast CableCommunications, Inc.6.750% 01/30/2011",Sell,2.6,12/20/2004,"1,286",(2,,0001047304,N-Q,04
Goldman Sachs & Co.,"Cox Communications, Inc.7.750% due 11/01/2010",Sell,2.6,12/20/2004,"1,286",(2,,0001047304,N-Q,04
Goldman Sachs & Co.,"Harrah s Entertainment, Inc.8.000% due 02/01/2011",Sell,2.6,12/20/2004,"1,286",(2,,0001047304,N-Q,04
Goldman Sachs & Co.,Sprint Corp. 6.875% due11/15/2028,Sell,2.6,12/20/2004,"1,286",(2,,0001047304,N-Q,04
"Merrill Lynch & Co., Inc.","TECO Energy, Inc. 7.500%due 06/15/2010",Sell,1.68,12/20/2009,"1,000",(3,,0001047304,N-Q,04
