Counterparty,Reference Entity,Buy/SellProtection+,(Pay)ReceiveFixed Rate,ExpirationDate,NotionalAmount,UnrealizedAppreciation/(Depreciation),CIK,Reporting Type,Report Year
"Bear Stearns & Co., Inc.",General Motors Acceptance Corp. 6.875% due 08/28/2012,Sell,2.100,12/20/2006,"12,400",54,0001047304,N-Q,06
"Bear Stearns & Co., Inc.",Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,4.750,06/20/2007,200,,0001047304,N-Q,06
"Bear Stearns & Co., Inc.",Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,2.320,09/20/2007,"2,100",10,0001047304,N-Q,06
Goldman Sachs & Co.,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,2.400,09/20/2007,"4,200",23,0001047304,N-Q,06
Goldman Sachs & Co.,Dow Jones CDX N.A. HV5 Index,Buy,(0.850,12/20/2010,"13,900",(104),0001047304,N-Q,06
JPMorgan Chase & Co.,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,2.000,03/20/2007,100,0,0001047304,N-Q,06
JPMorgan Chase & Co.,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,4.750,06/20/2007,400,10,0001047304,N-Q,06
JPMorgan Chase & Co.,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,4.700,06/20/2007,"1,800",43,0001047304,N-Q,06
JPMorgan Chase & Co.,"American International Group, Inc.",Sell,0.050,12/20/2007,"17,200",,0001047304,N-Q,06
JPMorgan Chase & Co.,Mexico Government International Bond 7.500% due 04/08/2033,Sell,0.920,03/20/2016,"1,200",,0001047304,N-Q,06
"Lehman Brothers, Inc.",Multiple Reference Entities of Gazprom,Sell,1.430,06/20/2011,600,13,0001047304,N-Q,06
"Lehman Brothers, Inc.",Mexico Government International Bond 7.500% due 04/08/2033,Sell,0.920,03/20/2016,"3,100",18,0001047304,N-Q,06
Morgan Stanley,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,5.200,12/20/2006,"9,300",112,0001047304,N-Q,06
Morgan Stanley,"Russia Government International Bond, 5.000% until 03/31/2007 and 7.500% thereafter, due 03/31/2030",Sell,0.460,06/20/2007,"1,300",,0001047304,N-Q,06
UBS Warburg LLC,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,4.750,12/20/2006,"10,700",117,0001047304,N-Q,06
UBS Warburg LLC,Ford Motor Credit Co. 7.000% due 10/01/2013,Sell,3.350,06/20/2007,"1,500",21,0001047304,N-Q,06
Wachovia Bank N.A.,Dow Jones CDX N.A. HV5 Index,Sell,(0.850,12/20/2010,"5,000",(50),0001047304,N-Q,06
