Issuer,Receive,Counterparty,ExpirationDate,"CreditRating1
",Notional,MarketValue,PremiumsPaid(Received),UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
"Caesars Entertainment Operating Co., Inc.",5.0,Goldman Sachs International,3/20/16,CCC-,528,"(152,952","(108,846","(44,106",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,Goldman Sachs International,3/20/16,CCC-,118,"(34,198","(23,143","(11,055",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,JPMorgan Chase Bank N.A.,3/20/16,CCC-,68,"(19,763","(12,629","(7,134",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,Goldman Sachs International,3/20/16,CCC-,270,"(78,285","(42,779","(35,506",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,Goldman Sachs International,3/20/16,CCC-,176,"(51,001","(38,079","(12,922",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,Goldman Sachs International,3/20/16,CCC-,176,"(51,001","(38,079","(12,922",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,Goldman Sachs International,6/20/16,CCC-,359,"(118,175","(82,029","(36,146",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,Goldman Sachs International,6/20/16,CCC-,690,"(227,354","(152,836","(74,518",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,JPMorgan Chase Bank N.A.,6/20/16,CCC-,296,"(97,656","(54,928","(42,728",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,Goldman Sachs International,9/20/16,CCC-,784,"(290,205","(164,503","(125,702",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,Goldman Sachs International,3/20/17,CCC-,325,"(140,277","(83,583","(56,694",0001051003,N-Q,14
"Caesars Entertainment Operating Co., Inc.",5.0,Goldman Sachs International,3/20/17,CCC-,226,"(97,609","(61,856","(35,753",0001051003,N-Q,14
