COUNTERPARTY,REFERENCE ENTITY/OBLIGATION,PROTECTION,FIXED RATE (%),DATE,AMOUNT(4),VALUE(5),PAID/(RECEIVED),(DEPRECIATION),CIK,Reporting Type,Report Year
UBS AG,"Australia &
  New Zealand Banking Group 4.450%, 02/05/15",Buy,(0.350),09/20/17,2135000,178585,178585,,0001066602,N-Q,09
UBS AG,"Australia &
  New Zealand Banking Group 4.450%, 02/05/15",Buy,(0.510),09/20/17,1972000,269687,269687,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Bank of America
  Corp. 6.250%, 04/15/12",Buy,(2.050),12/20/13,5332000,"(220,229)","(220,229)",,0001066602,N-Q,09
"Citibank N.A.,
  New York","BNP Paribas
  4.750%, 04/04/11",Buy,(0.490),09/20/13,5781000,52995,52995,,0001066602,N-Q,09
"Citibank N.A.,
  New York","BNP Paribas
  4.750%, 04/04/11",Buy,(0.505),09/20/13,4900000,41635,41635,,0001066602,N-Q,09
"Citibank N.A.,
  New York","BNP Paribas
  5.250%, 12/17/12",Buy,(0.250),09/20/17,2744000,183241,183241,,0001066602,N-Q,09
"Citibank N.A.,
  New York","BNP Paribas
  5.250%, 12/17/12",Buy,(0.520),09/20/17,574000,26569,26569,,0001066602,N-Q,09
"Citibank N.A.,
  New York","BNP Paribas
  5.250%, 12/17/12",Buy,(0.520),09/20/17,1294000,59895,59895,,0001066602,N-Q,09
"Citibank N.A.,
  New York",CDX.EM.9 Index,Buy,(2.650),06/20/13,29940000,4718773,"(77,388)",4796161,0001066602,N-Q,09
"Citibank N.A.,
  New York",CDX.EM.9 Index,Buy,(2.650),06/20/13,5116000,806321,64276,742045,0001066602,N-Q,09
"Citibank N.A.,
  New York",CDX.EM.9 Index,Buy,(2.650),06/20/13,5761000,907978,71679,836299,0001066602,N-Q,09
Barclays Bank PLC,CDX.EM.10 Index,Buy,(3.350),12/20/13,654000,98728,143257,"(44,529)",0001066602,N-Q,09
Barclays Bank PLC,CDX.EM.10 Index,Buy,(3.350),12/20/13,13063000,1971984,3098890,"(1,126,906)",0001066602,N-Q,09
Barclays Bank PLC,"CDX.NA.IG.10
  Index",Buy,(1.550),06/20/13,12909552,304973,451819,"(146,846)",0001066602,N-Q,09
"Citibank N.A.,
  New York","CDX.NA.IG.10
  Index",Buy,(1.550),06/20/13,6120496,144589,"(122,432)",267021,0001066602,N-Q,09
Barclays Bank PLC,"CDX.NA.IG.11
  Index",Buy,(1.500),12/20/13,6665000,139968,316950,"(176,982)",0001066602,N-Q,09
"Goldman Sachs
  International","CDX.NA.IG.11
  Index",Buy,(1.500),12/20/13,7165000,150468,228582,"(78,114)",0001066602,N-Q,09
"Citibank N.A.,
  New York","Darden
  Restaurants Inc. 6.000%, 08/15/35",Buy,(1.650),06/20/13,500000,21225,21225,,0001066602,N-Q,09
"Bear Stearns
  Credit Products Inc.","Darden
  Restaurants Inc. 7.125%, 02/01/16",Buy,(1.640),03/20/18,2241000,157050,157050,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Darden
  Restaurants Inc. 7.125%, 02/01/16",Buy,(0.610),12/20/12,632000,47530,47530,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Darden
  Restaurants Inc. 7.125%, 02/01/16",Buy,(1.310),12/20/17,624000,57046,57046,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Devon Energy
  Corp. 7.950%, 04/15/32",Buy,(1.150),12/20/13,2529000,(92),(92),,0001066602,N-Q,09
"Morgan Stanley
  Capital Services Inc.","Domtar Corp.
  7.875%, 10/15/11",Buy,(2.650),09/20/11,1287500,161135,161135,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Dow Chemical Co.
  7.375%, 11/01/29",Buy,(1.220),12/20/13,2510000,282831,282831,,0001066602,N-Q,09
"Goldman Sachs
  International","Dow Chemical Co.
  7.375%, 11/01/29",Buy,(1.280),12/20/13,3460000,381333,381333,,0001066602,N-Q,09
Barclays Bank PLC,"GAP Inc. 8.800%,
  12/15/08*",Buy,(1.200),06/20/13,1456000,"(11,140)","(11,140)",,0001066602,N-Q,09
"Citibank N.A.,
  New York","GAP Inc. 8.800%,
  12/15/08*",Buy,(1.190),06/20/13,651000,"(4,706)","(4,706)",,0001066602,N-Q,09
"Citibank N.A.,
  New York","GAP Inc. 8.800%,
  12/15/08*",Buy,(0.850),06/20/13,645000,4580,4580,,0001066602,N-Q,09
Goldman Sachs International,"Halliburton Co.
  5.500%, 10/15/10",Buy,(0.820),12/20/13,3026000,21787,21787,,0001066602,N-Q,09
UBS AG,"HSBC Bank PLC
  4.250%, 03/18/16",Buy,(0.400),09/20/17,2135000,174902,174902,,0001066602,N-Q,09
"Citibank N.A.,
  New York","International
  Lease Finance Corp. 4.150%, 01/20/15",Buy,(1.670),06/20/13,5121000,1061010,1061010,,0001066602,N-Q,09
"Citibank N.A.,
  New York","International
  Paper Co. 5.300%, 04/01/15",Buy,(3.950),12/20/13,3250000,160336,160336,,0001066602,N-Q,09
"Citibank N.A.,
  New York","International
  Paper Co. 5.300%, 04/01/15",Buy,(4.100),12/20/13,1277000,55475,55475,,0001066602,N-Q,09
"Goldman Sachs
  International","International
  Paper Co. 5.300%, 04/01/15",Buy,(3.700),12/20/13,1428000,84495,84495,,0001066602,N-Q,09
"Goldman Sachs
  International","International
  Paper Co. 5.850%, 10/30/12",Buy,(1.900),12/20/13,3034000,394394,394394,,0001066602,N-Q,09
Barclays Bank PLC,"LCDX.NA.9 Index
  (15-100% Tranche)",Buy,(1.613),12/20/12,4050377,645826,645826,,0001066602,N-Q,09
"Goldman Sachs
  International","Liberty Mutual
  Insurance 7.875%, 10/15/26",Buy,(3.150),12/20/13,1808000,"(54,234)","(54,234)",,0001066602,N-Q,09
Barclays Bank PLC,"Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(3.850),03/20/13,700000,143027,143027,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(2.000),12/20/12,1363000,333253,333253,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(2.100),12/20/12,1255000,303860,303860,,0001066602,N-Q,09
"Morgan Stanley
  Capital Services Inc.","Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(2.230),12/20/12,1062000,253845,253845,,0001066602,N-Q,09
"Morgan Stanley
  Capital Services Inc.","Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(5.350),09/20/13,2631000,459898,459898,,0001066602,N-Q,09
UBS AG,"Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(2.000),12/20/12,1434000,350613,350613,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Marks &
  Spencer PLC 6.375%, 11/07/11",Buy,(1.100),03/20/13,2682000,348470,348470,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Marks &
  Spencer PLC 6.375%, 11/07/11",Buy,(1.400),03/20/13,2298000,274710,274710,,0001066602,N-Q,09
"Citibank N.A.,
  New York","MBIA Inc. 6.625%,
  10/01/28",Buy,(5.000),09/20/13,641000,151038,204526,"(53,488)",0001066602,N-Q,09
"Citibank N.A.,
  New York","MBIA Inc. 6.625%,
  10/01/28",Buy,(5.000),09/20/13,1311000,308909,401469,"(92,560)",0001066602,N-Q,09
"Goldman Sachs
  International","MBIA Inc. 6.625%,
  10/01/28",Buy,(5.000),09/20/13,2539000,598260,798719,"(200,459)",0001066602,N-Q,09
"JPMorgan Chase
  Bank, N.A. New York","MBIA Inc. 6.625%,
  10/01/28",Buy,(5.000),09/20/13,9443000,2225037,1573698,651339,0001066602,N-Q,09
"Goldman Sachs
  International","MeadWestvaco
  Corp. 6.850%, 04/01/12",Buy,(1.900),12/20/13,3034000,40222,40222,,0001066602,N-Q,09
Barclays Bank PLC,"Norbord Inc. 7.250%,
  07/01/12",Buy,(6.350),06/20/13,726000,55621,55621,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Norbord Inc.
  7.250%, 07/01/12",Buy,(2.450),12/20/17,3377000,841046,841046,,0001066602,N-Q,09
"Morgan Stanley
  Capital Services Inc.","Norbord Inc.
  7.250%, 07/01/12",Buy,(5.550),09/20/13,2136000,222046,222046,,0001066602,N-Q,09
UBS AG,"Norbord Inc.
  7.250%, 07/01/12",Buy,(1.500),06/20/12,606500,123631,123631,,0001066602,N-Q,09
UBS AG,"Norbord Inc.
  7.250%, 07/01/12",Buy,(2.400),12/20/17,1342000,337442,337442,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Potash Corp. of
  Saskatchewan 7.750%, 05/31/11",Buy,(0.600),03/20/13,1248000,59972,59972,,0001066602,N-Q,09
"Goldman Sachs
  International","Potash Corp. of
  Saskatchewan 7.750%, 05/31/11",Buy,(0.880),03/20/18,3735000,307171,307171,,0001066602,N-Q,09
"Morgan Stanley
  Capital Services Inc.","Potash Corp. of
  Saskatchewan 7.750%, 05/31/11",Buy,(0.610),03/20/13,2497000,119020,119020,,0001066602,N-Q,09
"Goldman Sachs
  International","Temple-Inland
  Inc. 6.625%, 01/15/18",Buy,(3.080),12/20/13,1012000,155234,155234,,0001066602,N-Q,09
"JPMorgan Chase
  Bank N.A., New York","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(0.890),03/20/14,1384000,331148,331148,,0001066602,N-Q,09
"JPMorgan Chase
  Bank N.A., New York","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(1.020),03/20/14,1384000,324474,324474,,0001066602,N-Q,09
"Morgan Stanley
  Capital Services Inc.","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(0.900),03/20/14,1041000,248693,248693,,0001066602,N-Q,09
"Morgan Stanley
  Capital Services Inc.","Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(1.600),09/20/17,2401000,625055,625055,,0001066602,N-Q,09
UBS AG,"Temple-Inland
  Inc. 7.875%, 05/01/12",Buy,(0.900),03/20/14,2476000,591512,591512,,0001066602,N-Q,09
"Morgan Stanley
  Capital Services Inc.","Verizon
  Communications Inc. 4.900%, 09/15/15",Buy,(1.500),12/20/13,2200000,"(13,463)","(13,463)",,0001066602,N-Q,09
"Citibank N.A.,
  New York","VF Corp. 8.500%,
  10/01/10",Buy,(0.700),09/20/13,1284000,35084,35084,,0001066602,N-Q,09
"Citibank N.A.,
  New York","VF Corp. 8.500%,
  10/01/10",Buy,(0.800),09/20/13,644000,14780,14780,,0001066602,N-Q,09
"Citibank N.A.,
  New York","VF Corp. 8.500%,
  10/01/10",Buy,(0.800),09/20/13,1063000,24396,24396,,0001066602,N-Q,09
"Citibank N.A.,
  New York","VF Corp. 8.500%,
  10/01/10",Buy,(0.770),09/20/13,1249000,30304,30304,,0001066602,N-Q,09
"Morgan Stanley
  Capital Services Inc.","VF Corp. 8.500%,
  10/01/10",Buy,(0.850),09/20/13,2422000,50288,50288,,0001066602,N-Q,09
UBS AG,"Westpac Banking
  Corp. 5.875%, 04/29/18",Buy,(0.350),09/20/17,2135000,290818,290818,,0001066602,N-Q,09
UBS AG,"Westpac Banking
  Corp. 5.875%, 4/29/18",Buy,(0.510),09/20/17,1972000,245938,245938,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Westvaco Corp.
  7.950%, 02/15/31",Buy,(2.800),12/20/13,2341000,"(62,541)","(62,541)",,0001066602,N-Q,09
"Citibank N.A.,
  New York","Westvaco Corp.
  7.950%, 02/15/31",Buy,(2.750),12/20/13,1068000,"(26,154)","(26,154)",,0001066602,N-Q,09
"Goldman Sachs
  International","Westvaco Corp.
  7.950%, 02/15/31",Buy,(3.250),12/20/13,2593000,"(121,088)","(121,088)",,0001066602,N-Q,09
"JPMorgan Chase
  Bank N.A., New York","Weyerhaeuser Co.
  6.750%, 03/15/12",Buy,(0.640),03/20/14,2582000,187850,187850,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Weyerhaeuser Co.
  7.125%, 07/15/23",Buy,(3.150),12/20/13,4521000,"(189,545)","(189,545)",,0001066602,N-Q,09
"Goldman Sachs
  International","Weyerhaeuser Co.
  7.125%, 07/15/23",Buy,(2.000),12/20/13,3034000,27267,27267,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Whirlpool Corp.
  7.750%, 07/15/16",Buy,(1.210),09/20/13,1782000,183885,183885,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Whirlpool Corp.
  7.750%, 07/15/16",Buy,(1.330),09/20/13,2314000,227705,227705,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Whirlpool Corp.
  7.750%, 07/15/16",Buy,(1.400),09/20/13,1240000,118557,118557,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Whirlpool Corp.
  7.750%, 07/15/16",Buy,(1.400),09/20/13,773000,73907,73907,,0001066602,N-Q,09
"Morgan Stanley
  Capital Services Inc.","Whirlpool Corp.
  7.750%, 07/15/16",Buy,(1.680),09/20/13,1369000,115600,115600,,0001066602,N-Q,09
"Citibank N.A.,
  New York","Williams
  Companies Inc. 7.500%, 01/15/31",Buy,(2.750),12/20/13,1250000,48996,48996,,0001066602,N-Q,09
