Counterparty,TerminationDate,NotionalAmount(000),FixedRate,Underlying Bond,UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
Morgan Stanley(a),12/20/2008,200,0.26,"Allstate6.125%, 2/15/12",(109,0001067442,N-CSRS,04
"Merrill Lynch & Co., Inc.(a)",12/20/2008,100,0.32,"Ingersoll6.48%, 6/1/25",46,0001067442,N-CSRS,04
Morgan Stanley(a),12/20/2008,100,0.21,"Emerson4.625%, 10/15/12",183,0001067442,N-CSRS,04
Barclay s Bank PLC(a),12/20/2008,200,0.16,"Eli Lilly6.00%, 3/15/12",276,0001067442,N-CSRS,04
Bank of America Securities LLC(a),12/20/2008,100,0.13,"E.I. Dupont6.875%, 10/15/09",184,0001067442,N-CSRS,04
"Bear Stearns & Co., Inc.(a)",12/20/2008,100,0.32,"Hewlett Packard6.50%, 7/12/12",(463,0001067442,N-CSRS,04
"Lehman Brothers, Inc.(a)",12/20/2008,100,0.11,"Johnson3.80%, 5/15/13",(46,0001067442,N-CSRS,04
"Lehman Brothers, Inc.(a)",12/20/2008,100,0.12,"Home Depot5.375%, 4/1/06",138,0001067442,N-CSRS,04
CitiBank N.A.(a),12/20/2008,100,0.29,"FedEx7.25%, 2/15/11",25,0001067442,N-CSRS,04
"Lehman Brothers, Inc.(a)",12/20/2008,100,0.29,"Whirlpool8.60%, 5/1/10",182,0001067442,N-CSRS,04
"Lehman Brothers, Inc.(a)",12/20/2008,100,0.28,"Eaton5.75%, 7/15/12",(92,0001067442,N-CSRS,04
CitiBank N.A.(a),12/20/2008,300,0.14,"Wal-Mart6.875%, 8/10/09",137,0001067442,N-CSRS,04
UBS Warburg LLC(a),12/20/2008,200,0.35,"AutoZone5.875%, 10/15/12",869,0001067442,N-CSRS,04
"Lehman Brothers, Inc.(a)",12/20/2008,100,0.35,"Masco5.875%, 7/15/12",(138,0001067442,N-CSRS,04
"Lehman Brothers, Inc.(a)",12/20/2008,100,0.35,"RadioShack7.375%, 5/15/11",207,0001067442,N-CSRS,04
Barclay s Bank PLC(a),12/20/2008,100,0.67,"Walt Disney6.375%, 3/1/12",(885,0001067442,N-CSRS,04
"Lehman Brothers, Inc.(a)",12/20/2008,100,0.48,"Northrop7.1425%, 2/15/11",(294,0001067442,N-CSRS,04
"Lehman Brothers, Inc.(a)",12/20/2008,100,0.53,"Lockheed Martin8.20%, 12/1/09",(384,0001067442,N-CSRS,04
"Lehman Brothers, Inc.(a)",12/20/2008,100,0.97,"Goodrich7.625%, 12/15/12","(1,855",0001067442,N-CSRS,04
UBS Warburg LLC(a),12/20/2008,100,0.98,"Sun MicroSystems7.65%, 8/15/09","(1,275",0001067442,N-CSRS,04
Barclay s Bank PLC(a),12/20/2008,100,0.67,"Clear Channel7.65%, 9/15/10",(462,0001067442,N-CSRS,04
