Counterparty,TerminationDate,NotionalAmount#,FixedRate,Reference Entity/Obligation,UnrealizedAppreciation(Depreciation),CIK,Reporting Type,Report Year
Goldman Sachs(2),03/20/08,"700,000",0.05%,"AIG, 5.60%, due 10/18/16",(998,0001067442,N-CSRS,08
Morgan Stanley & Co.(1),12/20/08,"200,000",0.26%,"Allstate Corp., 6.125%, due 02/15/12",145,0001067442,N-CSRS,08
UBS AG(1),12/20/08,"300,000",0.35%,"AutoZone, Inc., 5.875%, due 10/15/12",103,0001067442,N-CSRS,08
Lehman Brothers(1),03/20/18,"1,000,000",2.20%,"Bear Stearns Co. Inc., 7.25%, due 02/01/18",,0001067442,N-CSRS,08
Bank of America Securities LLC(1),03/20/18,"2,000,000",1.83%,"Con-way Inc. 7.25%, due 01/15/18","(9,301",0001067442,N-CSRS,08
Lehman Brothers(1),12/20/08,"100,000",0.24%,"Costco Wholesale Corp., 5.50%, due 03/15/07",,0001067442,N-CSRS,08
Barclays Bank PLC(1),09/20/11,"200,000",0.58%,"DaimlerChrysler, 5.75%, due 09/08/11",163,0001067442,N-CSRS,08
Barclays Bank PLC(1),12/20/11,"600,000",0.75%,Dow Jones CDX HVOL7 Index,"37,071",0001067442,N-CSRS,08
Lehman Brothers(1),12/20/11,"100,000",0.00%,Dow Jones CDX HY7 Index,"17,307",0001067442,N-CSRS,08
Citigroup(2),06/20/12,"4,000,000",2.11%,Dow Jones CDX HY7 Index,"(264,705",0001067442,N-CSRS,08
