Counterparty,Referenced Entity,Buy/SellProtection,CurrentCreditSpread (9),NotionalAmount,FixedRate,TerminationDate,"Value atMarch 31,2009(U.S. Dollars)",UnrealizedAppreciation(Depreciation)(U.S. Dollars),CIK,Reporting Type,Report Year
Masco Corporation,Buy ,(10),5.19,"2,700,000",5.15,3/20/14,(754,(754,0001071336,N-CSRS,09
International Lease Finance Corporation,Sell ,(10),23.87,"1,000,000",2.0,6/20/09,"(47,139","(47,139",0001071336,N-CSRS,09
Dynegy Holdings Inc.,Sell ,(10),12.51,"1,000,000",5.0,3/20/14,"(223,061","(83,061",0001071336,N-CSRS,09
Aetna Inc.,Buy ,(10),1.34,"2,700,000",1.15,3/20/14,"22,359","22,359",0001071336,N-CSRS,09
DJ High Yield CDX,Sell ,(10),16.36,"19,200,000",5.0,6/20/13,"(5,346,301","(4,427,301",0001071336,N-CSRS,09
Georgia-Pacific LLC,Sell ,(10),6.86,"2,900,000",2.25,6/20/09,"(27,972","(27,972",0001071336,N-CSRS,09
"K. Hovnanian Enterprises, Inc.",Sell ,(10),28.44,"1,950,000",5.0,6/20/09,"(94,074","(50,199",0001071336,N-CSRS,09
"K. Hovnanian Enterprises, Inc.",Sell ,(10),28.44,"1,000,000",5.0,6/20/09,"(48,243","(23,243",0001071336,N-CSRS,09
Visteon Corporation,Sell ,(10),343.71,"1,000,000",5.0,9/20/13,"(883,333","(493,333",0001071336,N-CSRS,09
"Mohawk Industries, Inc.",Buy ,(10),4.12,"2,700,000",3.7,3/20/14,"42,521","42,521",0001071336,N-CSRS,09
Newell Rubbermaid Inc.,Buy ,(10),2.72,"2,700,000",2.82,6/20/14,"(11,784","(11,784",0001071336,N-CSRS,09
