Counterparty,Referenced Entity,Buy/SellProtection,NotionalAmount,FixedRate*,TerminationDate,Value(U.S. Dollars),UnrealizedAppreciation(Depreciation)(U.S. Dollars),CIK,Reporting Type,Report Year
Bank of America,Ford Motor Company,Sell,340000,5.0,12/20/14,"(22,465",14935,0001071336,N-Q,10
Barclays Bank PLC,"TRW Automotive, Inc.",Sell,200000,5.0,3/20/15,7026,1149,0001071336,N-Q,10
Citibank,Masco Corporation,Buy,1300000,5.15,3/20/14,"(173,906","(173,906",0001071336,N-Q,10
Credit Suisse,"Harrah s Operating Company, Inc., LCDS",Sell,460000,5.0,6/20/10,(861,49739,0001071336,N-Q,10
Credit Suisse,"Harrah s Operating Company, Inc.",Buy,460000,5.0,6/20/10,(197,"(142,797",0001071336,N-Q,10
Credit Suisse,Tesoro Corporation,Buy,1300000,5.0,9/20/14,"(76,216","(27,672",0001071336,N-Q,10
Deutsche Bank,Aetna Inc.,Buy,1300000,1.15,3/20/14,"(38,417","(38,417",0001071336,N-Q,10
Goldman Sachs,DJ Investment Grade CDX,Sell,992000,1.0,6/20/14,7842,50556,0001071336,N-Q,10
Goldman Sachs,DJ High Yield CDX,Sell,940000,5.0,6/20/14,7922,269947,0001071336,N-Q,10
JPMorgan,Mohawk Industries Inc.,Buy,1300000,3.7,3/20/14,"(100,270","(100,270",0001071336,N-Q,10
JPMorgan,DJ Investment Grade CDX,Sell,843200,1.0,6/20/14,6666,40877,0001071336,N-Q,10
JPMorgan,Chesapeake Energy Corporation,Sell,1300000,5.0,9/20/14,89216,133091,0001071336,N-Q,10
