Counterparty,"Referenced
 Obligation","Buy/Sell 
 Protection (1)","(Pay)/Receive
 Fixed Rate","Expiration
 Date","Notional
 Amount","Unrealized
 Appreciation
 (Depreciation)",CIK,Reporting Type,Report Year
Goldman Sachs,"Ford Motor Credit Co 7.000%
 due 10/01/13",Sell,1.400,09/20/08,"100,000","3,385",0001137761,N-Q,08
Lehman Brothers,"General Motors Acceptance
 Corp 6.875% due 08/28/12",Sell,1.425,09/20/08,"100,000","(4,440",0001137761,N-Q,08
Goldman Sachs,"General Motors Acceptance
 Corp 6.875% due 08/28/12",Buy,(5.050,09/20/08,"500,000","10,081",0001137761,N-Q,08
Royal Bank of Scotland,"Republic of Indonesia 6.750%
 due 03/10/14",Sell,0.400,12/20/08,"1,000,000","(3,820",0001137761,N-Q,08
Credit Suisse,"Chesapeake Energy Corp 6.875%
 due 01/15/16",Sell,1.010,06/20/12,"100,000","(3,119",0001137761,N-Q,08
Merrill Lynch,Dow Jones CDX NA HY-8 Index,Buy,(2.75,06/20/12,"200,000","4,746",0001137761,N-Q,08
Morgan Stanley,"General Motors Acceptance
 Corp 6.875% due 08/28/12",Sell,6.850,06/20/12,"100,000","(2,065",0001137761,N-Q,08
Royal Bank of Scotland,"Lehman Brothers Holdings Inc
 6.625% due 01/18/12",Sell,0.660,09/20/12,"100,000","(2,214",0001137761,N-Q,08
Citigroup,"The Bear Stearns Cos Inc
 5.300% due 10/30/15",Sell,0.720,09/20/12,"100,000","(4,435",0001137761,N-Q,08
Morgan Stanley,"The Goldman Sachs Group Inc
 6.600% due 01/15/12",Sell,0.750,09/20/12,"100,000",346,0001137761,N-Q,08
Morgan Stanley,"The Goldman Sachs Group Inc
 6.600% due 01/15/12",Sell,0.800,09/20/12,"100,000",558,0001137761,N-Q,08
Credit Suisse,"Chesapeake Energy Corp 6.875%
 due 01/15/16",Sell,1.550,09/20/12,"100,000","(1,234",0001137761,N-Q,08
Goldman Sachs,"General Motors Acceptance
 Corp 6.875% due 08/28/12",Sell,3.050,09/20/12,"100,000","(11,511",0001137761,N-Q,08
Citigroup,"RH Donnelley Holding Corp
 8.875% due 01/15/16",Sell,3.400,09/20/12,"100,000","(5,406",0001137761,N-Q,08
Morgan Stanley,"Ford Motor Credit Corp 7.000%
 due 10/01/13",Sell,3.800,09/20/12,"100,000","(8,990",0001137761,N-Q,08
Citigroup,"General Motors Acceptance
 Corp 6.875% due 08/28/12",Buy,(5.000,09/20/12,"100,000","6,576",0001137761,N-Q,08
Goldman Sachs,"General Motors Acceptance
 Corp 6.875% due 08/28/12",Sell,5.350,09/20/12,"500,000","(28,449",0001137761,N-Q,08
BNP Paribas,"The Goldman Sachs Group Inc
 6.600% due 01/15/12",Buy,(0.390,12/20/12,"100,000","1,216",0001137761,N-Q,08
Merrill Lynch,Dow Jones CDX NA IG-9 Index,Buy,(0.600,12/20/12,"1,400,000","17,291",0001137761,N-Q,08
Morgan Stanley,Dow Jones CDX NA IG-9 Index,Buy,(0.600,12/20/12,"1,400,000","17,291",0001137761,N-Q,08
Goldman Sachs,"The Bear Stearns Cos Inc
 5.300% due 10/30/15",Buy,(1.780,12/20/12,"100,000",,0001137761,N-Q,08
Lehman Brothers,Dow Jones CDX NA HY-9 Index,Sell,3.330,12/20/12,"300,000",797,0001137761,N-Q,08
Barclays,Dow Jones CDX NA IG-9 Index,Buy,(0.800,12/20/17,"800,000",(990,0001137761,N-Q,08
Goldman Sachs,Dow Jones CDX NA IG-9 Index,Buy,(0.800,12/20/17,"400,000",(614,0001137761,N-Q,08
Lehman Brothers,Dow Jones CDX NA IG-9 Index,Buy,(0.800,12/20/17,"300,000",(456,0001137761,N-Q,08
