"
Swap   Counterparty/   Referenced   Debt Issuer ","
Notional   Amount   (000s) (1) ","
Credit   Spread ","
Termination   Date ","
Payments   Received ","
Market   Value (2) ","
Upfront   Premiums   Paid   (Received) ","
Unrealized   Appreciation   (Depreciation) ",CIK,Reporting Type,Report Year
"
Berkshire Hathaway ","
$25,000 000","
1.51% ","
3/20/17 ","
1.00% ","
$(530,801 ","
$(632,928 ","
$102,127 ",0001190935,N-CSR,12
"
Brazilian Government International Bond ","
1,000 000","
1.43% ","
12/20/15 ","
1.00% ","
(12,830 ","
(7,664 ","
(5,166 ",0001190935,N-CSR,12
"
Brazilian Government International Bond ","
50,000 000","
2.06% ","
6/20/21 ","
1.00% ","
(4,033,578 ","
(2,039,882 ","
(1,993,696 ",0001190935,N-CSR,12
"
SLM ","
375 000","
3.50% ","
12/20/13 ","
5.00% ","
12,290 ","
(52,500 ","
64,790 ",0001190935,N-CSR,12
"
Brazilian Government International Bond ","
39,600 000","
1.43% ","
12/20/15 ","
1.00% ","
(508,061 ","
(293,737 ","
(214,324 ",0001190935,N-CSR,12
"
Republic of Indonesia ","
30,000 000","
1.95% ","
12/20/15 ","
1.00% ","
(909,822 ","
(581,570 ","
(328,252 ",0001190935,N-CSR,12
"
SLM ","
6,000 000","
3.50% ","
12/20/13 ","
5.00% ","
196,640 ","
(750,000 ","
946,640 ",0001190935,N-CSR,12
"
Royal Bank of Scotland ","
3,500 000","
2.45% ","
6/20/13 ","
1.50% ","
(24,004 ","
(24,004 ",,0001190935,N-CSR,12
"
Royal Bank of Scotland ","
3,500 000","
1.13% ","
6/20/13 ","
2.65% ","
74,684 ","
74,684 ",,0001190935,N-CSR,12
"
China Government Bond ","
50,000 000","
1.09% ","
6/20/16 ","
1.00% ","
(82,804 ","
672,877 ","
(755,681 ",0001190935,N-CSR,12
"
Mexico Government International Bond ","
20,000 000","
1.36% ","
12/20/15 ","
1.00% ","
(208,276 ","
(19,820 ","
(188,456 ",0001190935,N-CSR,12
"
Republic of Indonesia ","
12,000 000","
1.95% ","
12/20/15 ","
1.00% ","
(363,929 ","
(249,756 ","
(114,173 ",0001190935,N-CSR,12
"
Republic of South Africa ","
8,000 000","
1.63% ","
12/20/15 ","
1.00% ","
(158,891 ","
(74,433 ","
(84,458 ",0001190935,N-CSR,12
"
Brazilian Government International Bond ","
50,000 000","
1.47% ","
3/20/16 ","
1.00% ","
(767,235 ","
(448,936 ","
(318,299 ",0001190935,N-CSR,12
"
General Electric ","
10,000 000","
1.55% ","
12/20/15 ","
1.00% ","
(169,058 ","
(421,878 ","
252,820 ",0001190935,N-CSR,12
"
General Electric ","
32,000 000","
1.65% ","
9/20/16 ","
1.00% ","
(787,928 ","
(2,238,018 ","
1,450,090 ",0001190935,N-CSR,12
"
General Electric ","
18,000 000","
1.65% ","
9/20/16 ","
5.00% ","
2,644,888 ","
2,016,678 ","
628,210 ",0001190935,N-CSR,12
"
Mexico Government International Bond ","
50,000 000","
2.00% ","
6/20/21 ","
1.00% ","
(3,834,953 ","
(1,409,137 ","
(2,425,816 ",0001190935,N-CSR,12
"
SLM ","
10,000 000","
2.54% ","
3/20/13 ","
5.00% ","
297,366 ","
254,558 ","
42,808 ",0001190935,N-CSR,12
"
SLM ","
3,000 000","
3.50% ","
12/20/13 ","
5.00% ","
98,320 ","
(390,000 ","
488,320 ",0001190935,N-CSR,12
"
Brazilian Government International Bond ","
50,000 000","
1.47% ","
3/20/16 ","
1.00% ","
(767,235 ","
(448,936 ","
(318,299 ",0001190935,N-CSR,12
"
Credit Agricole ","
 10,000 000","
6.98% ","
6/20/16 ","
3.00% ","
(1,617,874 ","
319,177 ","
(1,937,051 ",0001190935,N-CSR,12
"
Mexico Government International Bond ","
$8,000 000","
1.36% ","
12/20/15 ","
1.00% ","
(83,310 ","
(102,364 ","
19,054 ",0001190935,N-CSR,12
"
Russian Government International Bond ","
25,000 000","
2.39% ","
3/20/16 ","
1.00% ","
(1,205,700 ","
(515,162 ","
(690,538 ",0001190935,N-CSR,12
