NotionalAmount,ExpirationDate,Counterparty,Buy/SellProtection,Receive(Pay)FixedRate,Deliverable on Default,UnrealizedAppreciation(Depreciation),Premium(Received)Paid,Value,CIK,Reporting Type,Report Year
"2,300,000",6/20/17,Barclays Bank PLC,Buy,(1.000,CDX.NA.IG.18,"(2,086","21,727","19,641",0001317146,N-CSRS,12
"775,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.","11,257",-,"11,257",0001317146,N-CSRS,12
"4,850,000",6/20/17,Goldman Sachs & Co.,Buy,(1.000,CDX.NA.IG.18,"34,563","6,855","41,418",0001317146,N-CSRS,12
"3,145,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(190,874","304,094","113,220",0001317146,N-CSRS,12
"365,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(10,585","23,725","13,140",0001317146,N-CSRS,12
"950,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(23,196","57,396","34,200",0001317146,N-CSRS,12
"400,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(4,600","19,000","14,400",0001317146,N-CSRS,12
"850,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(11,902","42,502","30,600",0001317146,N-CSRS,12
"2,300,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(43,706","126,506","82,800",0001317146,N-CSRS,12
"300,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(4,951","15,751","10,800",0001317146,N-CSRS,12
"1,100,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(23,653","63,253","39,600",0001317146,N-CSRS,12
"3,100,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(113,158","224,759","111,601",0001317146,N-CSRS,12
"1,350,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(49,279","97,879","48,600",0001317146,N-CSRS,12
"925,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(59,200","92,500","33,300",0001317146,N-CSRS,12
"24,500,000",6/20/17,Barclays Bank PLC,Buy,(1.000,CDX.NA.IG.18,"(22,214","231,442","209,228",0001317146,N-CSRS,12
"1,125,000",6/20/16,Credit Suisse Securities LLC,Buy,(0.580,"Marriott International, Inc.","16,340",-,"16,340",0001317146,N-CSRS,12
"19,250,000",6/20/17,Goldman Sachs & Co.,Buy,(1.000,CDX.NA.IG.18,"137,185","27,210","164,395",0001317146,N-CSRS,12
"2,950,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(188,800","295,000","106,200",0001317146,N-CSRS,12
"10,030,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(608,733","969,813","361,080",0001317146,N-CSRS,12
"4,200,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(121,800","273,000","151,200",0001317146,N-CSRS,12
"4,200,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(102,550","253,750","151,200",0001317146,N-CSRS,12
"4,575,000",10/12/52,Goldman Sachs & Co.,Buy,(0.100,CMBX.NA.AAA.1,"(52,612","217,312","164,700",0001317146,N-CSRS,12
