COUNTERPARTY,REFERENCE OBLIGATION,AMOUNT,FIXED RATE,DATE,CIK,Reporting Type,Report Year
Bank of America N.A.,McKesson Corp.,600000,(0.380)%,Mar 2017,0001331971,N-CSR,10
Bank of America N.A.,Vivendi,2000000,(1.280)%,Jun 2013,0001331971,N-CSR,10
Bank of America N.A.,"Intuit, Inc.",2000000,(1.380)%,Mar 2017,0001331971,N-CSR,10
Bank of America N.A.,Xstrata Canada Corp.,3000000,(0.910)%,Jun 2012,0001331971,N-CSR,10
Bank of America N.A.,Lafarge,2000000,(1.690)%,Sep 2016,0001331971,N-CSR,10
Bank of America N.A.,"Rio Tinto Alcan, Inc.",700000,(0.290)%,Mar 2011,0001331971,N-CSR,10
Bank of America N.A.,CBS Corp.,1800000,(1.000)%,Jun 2019,0001331971,N-CSR,10
Barclays Bank PLC,XL Capital Ltd.,300000,(0.310)%,Mar 2012,0001331971,N-CSR,10
Barclays Bank PLC,CDX.NA.IG.8,21199200,(0.600)%,Jun 2017,0001331971,N-CSR,10
Barclays Bank PLC,Southwest Airlines Company,500000,(0.640)%,Mar 2017,0001331971,N-CSR,10
Barclays Bank PLC,Norfolk Southern,2000000,(0.450)%,Sep 2014,0001331971,N-CSR,10
Barclays Bank PLC,"Citigroup, Inc.",4300000,(0.870)%,Jun 2018,0001331971,N-CSR,10
Bear Stearns,Loews Corp.,200000,(0.330)%,Mar 2016,0001331971,N-CSR,10
Bear Stearns,CNA Financial Corp.,500000,(0.440)%,Sep 2011,0001331971,N-CSR,10
Bear Stearns,Sprint Nextel Corp.,1000000,(1.065)%,Dec 2016,0001331971,N-CSR,10
BNP Paribas,JP Morgan Chase & Company,1800000,(0.737)%,Mar 2018,0001331971,N-CSR,10
BNP Paribas,"The Bear Stearns Companies, Inc.",2000000,(2.180)%,Mar 2018,0001331971,N-CSR,10
BNP Paribas,"D.R. Horton, Inc.",800000,(4.030)%,Jun 2011,0001331971,N-CSR,10
BNP Paribas,Vivendi,800000,(1.743)%,Jun 2013,0001331971,N-CSR,10
BNP Paribas,Vivendi,800000,(1.780)%,Jun 2013,0001331971,N-CSR,10
BNP Paribas,Vivendi,700000,(1.820)%,Jun 2013,0001331971,N-CSR,10
Citibank N.A,"Autozone, Inc.",500000,(0.680)%,Dec 2012,0001331971,N-CSR,10
