"
Counterparty
","
 Reference Entity
","
Protection
","
Fixed Rate
","
Date
","
 Value
","
Entity
","
 Future Payment
","
 (Received)
","
 (Depreciation)
",CIK,Reporting Type,Report Year
"
BNP Paribas S.A.
","
Expedia, Inc.
","
Buy
","
(1.00%)
","
3/20/2018
","
           (3,500,000)
","
Ba1
","
                (3,500,000)
","
                107,001
","
                   (35,476)
",0001360480,N-CSR,13
"
BNP Paribas S.A.
","
Markit CDX.HY.20.10
","
Buy
","
(5.00%)
","
6/20/2018
","
           (5,000,000)
","
B1
","
                (5,000,000)
","
              (199,852)
","
                     43,742
",0001360480,N-CSR,13
"
BNP Paribas S.A.
","
Markit CDX.HY.20.11
","
Buy
","
(5.00%)
","
6/20/2018
","
           (4,000,000)
","
B1
","
                (4,000,000)
","
              (147,962)
","
                     23,073
",0001360480,N-CSR,13
"
Credit Suisse
","
ArcelorMittal
","
Buy
","
(1.00%)
","
6/20/2018
","
              (100,000)
","
Ba1
","
                   (100,000)
","
                  16,376
","
                       3,113
",0001360480,N-CSR,13
"
Credit Suisse
","
Best Buy, Inc.
","
Buy
","
(5.00%)
","
9/20/2017
","
           (1,000,000)
","
Baa2
","
                (1,000,000)
","
                115,259
","
                 (209,617)
",0001360480,N-CSR,13
"
Credit Suisse
","
Energias de Portugal SA
","
Buy
","
(5.00%)
","
6/20/2018
","
              (100,000)
","
Ba1
","
                   (100,000)
","
                  (9,850)
","
                          338
",0001360480,N-CSR,13
"
Credit Suisse
","
Fiat Industrial SpA
","
Buy
","
(1.00%)
","
6/20/2018
","
              (100,000)
","
Ba1
","
                   (100,000)
","
                    8,437
","
                       1,878
",0001360480,N-CSR,13
"
Credit Suisse
","
Gannett Co. Inc.
","
Buy
","
(5.00%)
","
9/20/2017
","
           (1,000,000)
","
Ba1
","
                (1,000,000)
","
                (94,600)
","
                   (40,018)
",0001360480,N-CSR,13
"
Credit Suisse
","
Heidelberg Cement AG
","
Buy
","
(5.00%)
","
6/20/2018
","
              (100,000)
","
Ba1
","
                   (100,000)
","
                (18,188)
","
                       1,775
",0001360480,N-CSR,13
"
Credit Suisse
","
Jaguar Land Rover Automotive
","
Buy
","
(5.00%)
","
6/20/2018
","
              (100,000)
","
Ba3
","
                   (100,000)
","
                (12,929)
","
                       2,143
",0001360480,N-CSR,13
