Counterparty,ReferenceEntity,ExpirationDate,PayFixedRate (%),NotionalAmount ($),MarketValue ($),UnamortizedPremium(Paid)Received ($),PeriodicPaymentsReceivable(Payable) ($),UnrealizedAppreciation($),UnrealizedDepreciation($),CIK,Reporting Type,Report Year
Goldman Sachs International,H.J. Heinz Company,"December 20, 2017",1.0,"17,415,000","271,611","350,316","(4,354","617,574",,0001413032,N-CSR,13
Goldman Sachs International,Bank of America Corp.,"June 20, 2018",1.0,"27,185,000","414,039","(306,767","(6,796","100,476",,0001413032,N-CSR,13
Morgan Stanley,"Barclays Bank, PLC","June 20, 2018",1.0,"14,335,000","372,464","(404,191","(3,584","(35,311",,0001413032,N-CSR,13
Citibank,CDX Emerging Markets Index 19-V1,"June 20, 2018",5.0,"7,565,000","(607,546","410,485","(9,456","(206,517",,0001413032,N-CSR,13
Goldman Sachs International,CDX Emerging Markets Index 19-V1,"June 20, 2018",5.0,"7,830,000","(628,828","312,512","(9,788","(326,103",,0001413032,N-CSR,13
Goldman Sachs International,CDX North America High Yield 20,"June 20, 2018",5.0,"33,625,000","(1,004,384","1,602,899","(42,031","556,484",,0001413032,N-CSR,13
JPMorgan,CDX North America High Yield 20,"June 20, 2018",5.0,"32,515,000","(971,228","1,800,406","(40,644","788,534",,0001413032,N-CSR,13
Barclays,CDX North America High Yield Index 20-V1,"June 20, 2018",5.0,"62,605,000","(1,870,021","1,764,814","(78,256","(183,464",,0001413032,N-CSR,13
Citibank,CDX North America Investment Grade 20,"June 20, 2018",1.0,"29,935,000","(192,847","365,586","(7,484","165,255",,0001413032,N-CSR,13
JPMorgan,CDX North America Investment Grade 20,"June 20, 2018",1.0,"51,700,000","(333,061","430,237","(12,925","84,251",,0001413032,N-CSR,13
Goldman Sachs International,"Citigroup, Inc.","June 20, 2018",1.0,"18,530,000","207,122","(52,748","(4,633","149,741",,0001413032,N-CSR,13
JPMorgan,"Citigroup, Inc.","June 20, 2018",1.0,"10,000,000","111,777","(37,923","(2,500","71,354",,0001413032,N-CSR,13
Barclays,"D.R. Horton, Inc.","June 20, 2018",1.0,"6,395,000","298,331","(200,420","(1,599","96,313",,0001413032,N-CSR,13
JPMorgan,"D.R. Horton, Inc.","June 20, 2018",1.0,"20,940,000","976,865","(742,516","(5,235","229,114",,0001413032,N-CSR,13
Barclays,"Goldman Sachs Group, Inc.","June 20, 2018",1.0,"3,595,000","99,111","(60,591",(899,"37,621",,0001413032,N-CSR,13
Morgan Stanley,"Goldman Sachs Group, Inc.","June 20, 2018",1.0,"13,010,000","358,674","(212,786","(3,253","142,635",,0001413032,N-CSR,13
Barclays,"Home Depot, Inc.","June 20, 2018",1.0,"485,000","(14,654","15,186",(121,411,,0001413032,N-CSR,13
Goldman Sachs International,"Home Depot, Inc.","June 20, 2018",1.0,"15,245,000","(460,617","461,138","(3,811","(3,290",,0001413032,N-CSR,13
JPMorgan,"Home Depot, Inc.","June 20, 2018",1.0,"16,155,000","(488,112","513,554","(4,039","21,403",,0001413032,N-CSR,13
Barclays,"Limited Brands, Inc.","June 20, 2018",1.0,"13,065,000","743,774","(681,068","(3,266","59,440",,0001413032,N-CSR,13
Barclays,"Marriott International, Inc.","June 20, 2018",1.0,"5,910,000","(76,219","105,752","(1,478","28,055",,0001413032,N-CSR,13
Citibank,"Marriott International, Inc.","June 20, 2018",1.0,"5,810,000","(74,929","133,733","(1,453","57,351",,0001413032,N-CSR,13
