Swap Counterparty,Protection,Amount(000 s),Date,(Paid),Value,Appreciation,CIK,Reporting Type,Report Year
Barclays Bank plc,Sell,70000,3/20/16,319,(83,236.0,0001488175,N-CSR,11
Credit Suisse International,Sell,85000,6/20/16,582,(113,469.0,0001488175,N-CSR,11
Barclays Bank plc,Sell,175000,7/20/11,4524,1917,6441.0,0001488175,N-CSR,11
Barclays Bank plc,Sell,50000,3/20/16,4209,"(2,909",1300.0,0001488175,N-CSR,11
Barclays Bank plc,Sell,95000,6/20/16,7661,"(5,774",1887.0,0001488175,N-CSR,11
HSBC Bank USA,Sell,90000,3/20/16,7847,"(5,236",2611.0,0001488175,N-CSR,11
"JPMorgan Chase Bank NA, NY Branch",Sell,60000,3/20/16,5000,"(3,491",1509.0,0001488175,N-CSR,11
"Morgan Stanley Capital Services, Inc.",Sell,90000,3/20/16,7847,"(5,236",2611.0,0001488175,N-CSR,11
UBS AG,Sell,90000,3/20/16,7837,"(5,236",2601.0,0001488175,N-CSR,11
Goldman Sachs International,Sell,90000,6/20/16,352,(77,275.0,0001488175,N-CSR,11
HSBC Bank USA,Sell,20000,3/20/16,21,(15,,0001488175,N-CSR,11
