  Counterparty/,Rate,Reference Entity,Amount,   Date                                             ,CIK,Reporting Type,Report Year
Avon Products Inc,5,MSCS,636000,6/20/20,0001535538,N-CSR,15
Government of Brazil,1,BOFA,110000,12/20/19,0001535538,N-CSR,15
Government of Brazil,1,BOFA,40000,12/20/19,0001535538,N-CSR,15
Government of Brazil,1,CITI,80000,12/20/19,0001535538,N-CSR,15
Government of Brazil,1,BOFA,50000,12/20/19,0001535538,N-CSR,15
Government of Russia,1,JPHQ,2829000,6/20/20,0001535538,N-CSR,15
Toys R US Inc,5,MSCS,187000,12/20/16,0001535538,N-CSR,15
Toys R US Inc,5,MSCS,111000,12/20/16,0001535538,N-CSR,15
Toys R US Inc,5,MSCS,74000,12/20/16,0001535538,N-CSR,15
Transocean Ltd,1,MSCS,150000,12/20/19,0001535538,N-CSR,15
Transocean Ltd,1,DBFX,100000,12/20/19,0001535538,N-CSR,15
Transocean Ltd,1,MSCS,150000,12/20/19,0001535538,N-CSR,15
Transocean Ltd,1,MSCS,150000,12/20/19,0001535538,N-CSR,15
Transocean Ltd,1,MSCS,75000,12/20/19,0001535538,N-CSR,15
Transocean Ltd,1,BOFA,75000,12/20/19,0001535538,N-CSR,15
Transocean Ltd,1,CITI,300000,12/20/19,0001535538,N-CSR,15
