CIK,Reporting Type,Reporting Year,Counterparty,Notional Amount,Reference Entity/Obligation,Expiration Date,Appreciation/Depreciation,Upfront Payments Paid/Received,Buy/Sell Protection,Description,Fixed Rate
0000315774,N-CSR,17, Barclays ," 10,000,000 "," Eastman Chemical Co, 7.60%, 02/01/27 ", 12/20/21 ,NaN,"   35,394 ",NaN,NaN,
0000315774,N-CSR,17,Barclays," 5,000,000 "," Host Hotels & Resorts, 4.75%, 03/01/23 ", 12/20/21 ,NaN,"     50,649 ",NaN,NaN,
0000315774,N-CSR,17,Barclays," 10,000,000 "," Macy's Retail Holdings, 7.45%, 07/15/17 ", 12/20/21 ,NaN,"     507,117 ",NaN,NaN,
0000315774,N-CSR,17, BNP Paribas ," 10,000,000 "," Host Hotels & Resorts, 4.75%, 03/01/23 ", 06/20/22 ,NaN,"     (24,159 ",NaN,NaN,
0000315774,N-CSR,17,BNP Paribas," 5,000,000 "," International Paper Co, 7.50%, 08/15/21 ", 12/20/21 ,NaN,"   (49,431 ",NaN,NaN,
0000315774,N-CSR,17,BNP Paribas," 5,000,000 "," Marriott International, Inc., 3.00%, 03/01/19 ", 12/20/21 ,NaN,"     (88,168 ",NaN,NaN,
0000315774,N-CSR,17,BNP Paribas," 10,000,000 "," Ryder Systems Inc, 2.55%, 06/01/19 ", 12/20/21 ,NaN,"   (22,277 ",NaN,NaN,
0000315774,N-CSR,17, Goldman Sachs ," 5,000,000 "," Host Hotels & Resorts, 4.75%, 03/01/23 ", 12/20/21 ,NaN,"     28,750 ",NaN,NaN,
0000315774,N-CSR,17,Goldman Sachs," 5,000,000 "," Nordstrom Inc, 6.95%, 03/15/28 ", 06/20/22 ,NaN,"   156,817 ",NaN,NaN,
0000315774,N-CSR,17,Goldman Sachs," 10,000,000 "," Ryder Systems Inc, 2.55%, 06/01/19 ", 06/20/22 ,NaN," (92,399 ",NaN,NaN,
0000315774,N-CSR,17, Morgan Stanley ," 5,000,000 "," Gatx Corp., 6.00%, 02/15/18 ", 12/20/21 ,NaN,"   161,498 ",NaN,NaN,
0000315774,N-CSR,17,Morgan Stanley," 5,000,000 "," International Paper Co, 7.50%, 08/15/21 ", 12/20/21 ,NaN,"   (44,764 ",NaN,NaN,
0000880943,N-CSRS,07,Deutsche Bank AG,2110000,NaN,06/20/16,"$152,115",NaN,NaN,,NaN
0000846799,N-CSR,13,Deutsche   Bank AG,2306000,CDX.EM.19 Index,06/20/18,67980,"(251,846",Buy,NaN,
0000846799,N-CSR,13,"Citigroup, Inc.",2631000,"Citigroup, Inc.",06/20/18,78850,"(288,630",Buy,,(5.000
0000846799,N-CSR,13,Deutsche   Bank AG,215000,Republic of Turkey,06/20/18,4458,4148,Buy,,(5.000
0000002646,N-CSR,14,"Citigroup, Inc.","63,000,000",CDX.EM.19,06/20/18,"(729,151","(4,789,383",NaN,,(1.000
0000002646,N-CSR,14,Deutsche Bank AG,"9,228,000",CDX.EM.19,06/20/18,"(117,084","(691,250",NaN,NaN,
0000002646,N-CSR,14,HSBC,"12,061,000",CDX.EM.19,06/20/18,"(149,690","(906,803",NaN,NaN,
