CIK,Reporting Type,Reporting Year,Counterparty,Notional Amount,Reference Entity/Obligation,Expiration Date,Appreciation/Depreciation,Upfront Payments Paid/Received,Buy/Sell Protection,Description,Fixed Rate,Spread,25% Recovery Rate,50% Recovery Rate,75% Recovery Rate
315774,N-CSR,17, Barclays ,10000000," Eastman Chemical Co, 7.60%, 02/01/27 ", 12/20/21 ,NaN,35394,NaN,NaN,   1.00%,7.6,10.1333333333,15.2,30.4
315774,N-CSR,17,Barclays,5000000," Host Hotels & Resorts, 4.75%, 03/01/23 ", 12/20/21 ,NaN,50649,NaN,NaN,1,4.75,6.3333333333,9.5,19
315774,N-CSR,17,Barclays,10000000," Macy's Retail Holdings, 7.45%, 07/15/17 ", 12/20/21 ,NaN,507117,NaN,NaN,1,7.45,9.9333333333,14.9,29.8
315774,N-CSR,17, BNP Paribas ,10000000," Host Hotels & Resorts, 4.75%, 03/01/23 ", 06/20/22 ,NaN,"     (24,159 ",NaN,NaN,1,4.75,6.3333333333,9.5,19
315774,N-CSR,17,BNP Paribas,5000000," International Paper Co, 7.50%, 08/15/21 ", 12/20/21 ,NaN,"   (49,431 ",NaN,NaN,1,7.5,10,15,30
315774,N-CSR,17,BNP Paribas,5000000," Marriott International, Inc., 3.00%, 03/01/19 ", 12/20/21 ,NaN,"     (88,168 ",NaN,NaN,1,3,4,6,12
315774,N-CSR,17,BNP Paribas,10000000," Ryder Systems Inc, 2.55%, 06/01/19 ", 12/20/21 ,NaN,"   (22,277 ",NaN,NaN,1,2.55,3.4,5.1,10.2
315774,N-CSR,17, Goldman Sachs ,5000000," Host Hotels & Resorts, 4.75%, 03/01/23 ", 12/20/21 ,NaN,28750,NaN,NaN,1,4.75,6.3333333333,9.5,19
315774,N-CSR,17,Goldman Sachs,5000000," Nordstrom Inc, 6.95%, 03/15/28 ", 06/20/22 ,NaN,156817,NaN,NaN,1,6.95,9.2666666667,13.9,27.8
315774,N-CSR,17,Goldman Sachs,10000000," Ryder Systems Inc, 2.55%, 06/01/19 ", 06/20/22 ,NaN," (92,399 ",NaN,NaN,1,2.55,3.4,5.1,10.2
315774,N-CSR,17, Morgan Stanley ,5000000," Gatx Corp., 6.00%, 02/15/18 ", 12/20/21 ,NaN,161498,NaN,NaN,1,6,8,12,24
315774,N-CSR,17,Morgan Stanley,5000000," International Paper Co, 7.50%, 08/15/21 ", 12/20/21 ,NaN,"   (44,764 ",NaN,NaN,1,7.5,10,15,30
880943,N-CSRS,7,Deutsche Bank AG,2110000,NaN,06/20/16,"$152,115",NaN,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
846799,N-CSR,13,Deutsche   Bank AG,2306000,CDX.EM.19 Index,06/20/18,67980,"(251,846",Buy,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
