Counterparty,Reference Entity/Obligation,"Buy/Sell
  Protection","(Pay)/Receive
  Fixed Rate (%)","Termination
  Date","Notional
  Amount","Unrealized
  Appreciation/
  (Depreciation)",CIK,Reporting Type,Report Year
"Citibank N.A., New York","First
  Data Corp. 4.700%, 08/01/13",Buy,(5.350),12/20/12,"7,311,000","775,368",0000002646,N-Q,08
"Citibank N.A., New York","First
  Data Corp. 4.700%, 08/01/13",Buy,(5.900),12/20/17,"4,133,000","516,213",0000002646,N-Q,08
"Citibank N.A., New York","Ford
  Motor Co. 6.500%, 08/01/18",Sell,6.100,12/20/12,"3,159,000","(549,446)",0000002646,N-Q,08
"Citibank N.A., New York","Federal
  Home Loan Mortgage Corp. 5.500%, 09/15/11",Buy,(0.560),03/20/13,"7,873,000","(23,099)",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Federal
  Home Loan Mortgage Corp. 5.500%, 09/15/11",Buy,(0.960),03/20/13,"3,316,000","(70,829)",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Federal
  Home Loan Mortgage Corp. 5.875%, 03/21/11",Buy,(2.100),03/20/13,"3,316,000","(116,810)",0000002646,N-Q,08
Barclays Bank PLC,"Gannett
  Co. 6.375%, 04/01/12",Buy,(0.780),09/20/14,"5,612,000","479,007",0000002646,N-Q,08
"Citibank N.A., New York","Gannett
  Co. 6.375%, 04/01/12",Buy,(0.690),06/20/14,"8,772,000","775,180",0000002646,N-Q,08
"Citibank N.A., New York","Gannett
  Co. 6.375%, 04/01/12",Buy,(0.860),09/20/14,"2,745,000","222,730",0000002646,N-Q,08
"Citibank N.A., New York","General
  Electric Capital Corp. 6.000%, 06/15/12",Sell,1.170,03/20/13,"27,468,000","(183,813)",0000002646,N-Q,08
Barclays Bank PLC,"Georgia-Pacific
  Corp. 7.750%, 11/15/29",Sell,3.000,09/20/12,"2,907,000","(232,202)",0000002646,N-Q,08
"Citibank N.A., New York","Goldman
  Sachs Group Inc. 6.600%, 01/15/12",Buy,(0.960),12/20/12,"8,950,000","207,632",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Goldman
  Sachs Group Inc. 6.600%, 01/15/12",Buy,(1.030),12/20/12,"6,593,000","133,528",0000002646,N-Q,08
"Morgan Stanley Capital
  Services Inc.","Goldman
  Sachs Group Inc. 6.600%, 01/15/12",Buy,(1.030),12/20/12,"5,742,000","116,293",0000002646,N-Q,08
UBS AG,"Harrah s
  Operating Co. Inc. 5.625%, 06/01/15",Buy,(7.450),03/20/13,"2,847,000","334,556",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Hilton
  Hotels Corp. 7.625%, 12/01/12",Buy,(7.250),03/20/13,"2,445,500","205,632",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Hilton
  Hotels Corp. 7.625%, 12/01/12",Buy,(7.650),03/20/13,"5,953,000","422,251",0000002646,N-Q,08
UBS AG,"HSBC
  Bank PLC 4.250%, 03/18/16",Buy,(0.400),09/20/17,"5,233,000","574,214",0000002646,N-Q,08
UBS AG,"LCDX.NA.8
  Index",Buy,(1.200),06/20/12,"26,790,840","858,843",0000002646,N-Q,08
UBS AG,"LCDX.NA.8
  Index",Buy,(1.200),06/20/12,"4,512,142","111,576",0000002646,N-Q,08
"Citibank N.A., New York","Lehman
  Brothers Hldgs. 6.625%, 01/18/12",Buy,(1.100),12/20/12,"2,676,000","201,972",0000002646,N-Q,08
"Citibank N.A., New York","Lehman
  Brothers Hldgs. 6.625%, 01/18/12",Buy,(1.100),12/20/12,"2,664,000","201,066",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Liberty
  Mutual Insurance 7.875%, 10/15/26",Buy,(1.150),03/20/13,"6,580,000","(91,727)",0000002646,N-Q,08
Barclays Bank PLC,"Lloyds
  TSB Group PLC 5.875%, 07/08/14",Buy,(0.500),12/20/17,"2,859,000","229,852",0000002646,N-Q,08
Barclays Bank PLC,"Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(3.850),03/20/13,"1,853,000","123,820",0000002646,N-Q,08
"Citibank N.A., New York","Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(2.000),12/20/12,"3,317,000","436,069",0000002646,N-Q,08
"Citibank N.A., New York","Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(2.100),12/20/12,"5,970,000","763,273",0000002646,N-Q,08
"Citibank N.A., New York","Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(3.010),03/20/13,"1,700,000","167,114",0000002646,N-Q,08
"Citibank N.A., New York","Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(3.375),03/20/13,"5,177,000","438,093",0000002646,N-Q,08
"Morgan Stanley Capital
  Services Inc.","Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(2.230),12/20/12,"5,742,000","707,150",0000002646,N-Q,08
UBS AG,"Louisiana-Pacific
  Corp. 8.875%, 08/15/10",Buy,(2.000),12/20/12,"3,489,000","458,681",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Macquarie
  Bank Ltd. FRN, 09/18/15",Buy,(1.200),12/20/12,"22,001,000","2,220,796",0000002646,N-Q,08
"Lehman Brothers Special
  Financing Inc.","Macquarie
  Bank Ltd. FRN, 09/18/15",Sell,1.300,12/20/17,"13,104,000","(2,152,714)",0000002646,N-Q,08
"Citibank N.A., New York","Marks &
  Spencer PLC 6.375%, 11/07/11",Buy,(1.100),03/20/13,"8,289,000","352,618",0000002646,N-Q,08
"Citibank N.A., New York","Marks &
  Spencer PLC 6.375%, 11/07/11",Buy,(1.400),03/20/13,"5,960,000","175,274",0000002646,N-Q,08
