Buy/Sell ,(Pay)/Receive      Expiration ,Notional ,Appreciation ,CIK,Reporting Type,Report Year
Fixed Rate ,Date ,Amount ,(Depreciation) ,0000012601,N-CSRS,10
(5.00)% ,06/20/2015 ,"$ 1,440 ",$ (22) ,0000012601,N-CSRS,10
(0.50)% ,03/15/2049 ,500 ,(1) ,0000012601,N-CSRS,10
(5.00)% ,06/20/2015 ,720 ,(7) ,0000012601,N-CSRS,10
(5.00)% ,06/20/2015 ,720 ,(6) ,0000012601,N-CSRS,10
(5.00)% ,12/20/2014 ,"1,733 ",(18) ,0000012601,N-CSRS,10
(5.00)% ,12/20/2014 ,"1,733 ",(20) ,0000012601,N-CSRS,10
(5.00)% ,12/20/2013 ,"1,349 ",(308) ,0000012601,N-CSRS,10
(5.00)% ,06/20/2015 ,"1,440 ",(18) ,0000012601,N-CSRS,10
(0.35)% ,02/17/2051 ,"1,250 ",(13) ,0000012601,N-CSRS,10
(5.00)% ,12/20/2013 ,435 ,(95) ,0000012601,N-CSRS,10
(5.00)% ,12/20/2014 ,"3,465 ",(37) ,0000012601,N-CSRS,10
(5.00)% ,06/20/2015 ,720 ,(6) ,0000012601,N-CSRS,10
(5.00)% ,06/20/2015 ,"1,440 ",(20) ,0000012601,N-CSRS,10
(5.00)% ,06/20/2015 ,720 ,(6) ,0000012601,N-CSRS,10
(0.07)% ,03/15/2049 ,"1,250 ",(3) ,0000012601,N-CSRS,10
(0.35)% ,02/17/2051 ,"1,250 ",(17) ,0000012601,N-CSRS,10
