Reference Entity/Swap Counterparty,Buy/Sell Credit Protection,Notional Amount (000s),Receive Fixed Rate,Termination,CIK,Reporting Type,Report Year
Goldman Sachs International,Buy,5000000,1.0,06/20/14,0000045156,N-CSRS,10
Goldman Sachs International,Buy,5000000,1.0,6/20/14,0000045156,N-CSRS,10
Goldman Sachs International,Buy,5000000,5.0,9/20/14,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Buy,1605000,0.7,3/20/17,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Buy,1615000,0.63,3/20/17,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Sell,1605000,1.17,3/20/17,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Sell,1615000,1.1,3/20/17,0000045156,N-CSRS,10
Goldman Sachs International,Buy,5000000,1.0,06/20/14,0000045156,N-CSRS,10
Goldman Sachs International,Buy,5000000,1.0,6/20/14,0000045156,N-CSRS,10
Goldman Sachs International,Buy,5000000,5.0,9/20/14,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Buy,1605000,0.7,3/20/17,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Buy,1615000,0.63,3/20/17,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Sell,1605000,1.17,3/20/17,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Sell,1615000,1.1,3/20/17,0000045156,N-CSRS,10
Goldman Sachs International,Buy,5000000,1.0,06/20/14,0000045156,N-CSRS,10
Goldman Sachs International,Buy,5000000,1.0,6/20/14,0000045156,N-CSRS,10
Goldman Sachs International,Buy,5000000,5.0,9/20/14,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Buy,1605000,0.7,3/20/17,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Buy,1615000,0.63,3/20/17,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Sell,1605000,1.17,3/20/17,0000045156,N-CSRS,10
"Morgan Stanley Capital
Services, Inc.",Sell,1615000,1.1,3/20/17,0000045156,N-CSRS,10
